site,year,species,D_cm,H_m,V_m3,X,Y,weight
1003351,2009,Fagus sylvatica,11.34,11.1,0.04,NA,NA,88
1003351,2009,Fagus sylvatica,17.75,11.1,0.099,NA,NA,88
1003351,2009,Fagus sylvatica,18.96,11.1,0.113,NA,NA,88
1003351,2009,Fagus sylvatica,20.86,11.1,0.138,NA,NA,88
1003351,2009,Fagus sylvatica,25.95,20.6,0.455,NA,NA,312
1003351,2009,Fagus sylvatica,41.51,31.4,1.864,NA,NA,135
1003351,2009,Picea abies,48.19,29.5,1.848,NA,NA,15
1003351,2009,other broadleaved,41.1,27.3,1.557,NA,NA,30
1003351,2009,other broadleaved,28.59,32.3,0.923,NA,NA,78
1003351,2010,Fagus sylvatica,11.4,11.4,0.041,NA,NA,88
1003351,2010,Fagus sylvatica,17.84,11.5,0.101,NA,NA,88
1003351,2010,Fagus sylvatica,19.04,11.5,0.115,NA,NA,88
1003351,2010,Fagus sylvatica,20.95,11.5,0.139,NA,NA,88
1003351,2010,Fagus sylvatica,26.05,21.1,0.457,NA,NA,312
1003351,2010,Fagus sylvatica,41.67,31.6,1.883,NA,NA,135
1003351,2010,Picea abies,47.62,36.1,1.76,NA,NA,15
1003351,2010,other broadleaved,41.3,27.7,1.575,NA,NA,30
1003351,2010,other broadleaved,28.75,32.6,0.937,NA,NA,78
1003351,2011,Fagus sylvatica,11.46,11.7,0.041,NA,NA,88
1003351,2011,Fagus sylvatica,17.91,11.7,0.101,NA,NA,88
1003351,2011,Fagus sylvatica,19.12,11.7,0.116,NA,NA,88
1003351,2011,Fagus sylvatica,21.03,11.8,0.141,NA,NA,88
1003351,2011,Fagus sylvatica,26.13,21.3,0.46,NA,NA,312
1003351,2011,Fagus sylvatica,41.8,31.7,1.894,NA,NA,135
1003351,2011,Picea abies,47.72,36.6,1.841,NA,NA,15
1003351,2011,other broadleaved,41.45,28,1.586,NA,NA,30
1003351,2011,other broadleaved,28.88,32.8,0.946,NA,NA,78
1003351,2012,Fagus sylvatica,11.53,12.1,0.042,NA,NA,88
1003351,2012,Fagus sylvatica,18,12.2,0.102,NA,NA,88
1003351,2012,Fagus sylvatica,19.21,12.2,0.117,NA,NA,88
1003351,2012,Fagus sylvatica,21.13,12.2,0.142,NA,NA,88
1003351,2012,Fagus sylvatica,26.22,21.8,0.464,NA,NA,312
1003351,2012,Fagus sylvatica,41.95,31.9,1.913,NA,NA,135
1003351,2012,Picea abies,48,36.9,1.953,NA,NA,15
1003351,2012,other broadleaved,41.64,28.4,1.603,NA,NA,30
1003351,2012,other broadleaved,29.04,33,0.96,NA,NA,78
1003351,2013,Fagus sylvatica,11.6,12.5,0.043,NA,NA,88
1003351,2013,Fagus sylvatica,18.09,12.6,0.104,NA,NA,88
1003351,2013,Fagus sylvatica,19.3,12.6,0.119,NA,NA,88
1003351,2013,Fagus sylvatica,21.22,12.6,0.144,NA,NA,88
1003351,2013,Fagus sylvatica,26.31,22.1,0.468,NA,NA,312
1003351,2013,Fagus sylvatica,42.1,32.1,1.926,NA,NA,135
1003351,2013,Picea abies,48.27,37.1,2.066,NA,NA,15
1003351,2013,other broadleaved,41.83,28.8,1.616,NA,NA,30
1003351,2013,other broadleaved,29.2,33.3,0.974,NA,NA,78
1003351,2014,Fagus sylvatica,11.66,12.8,0.044,NA,NA,88
1003351,2014,Fagus sylvatica,18.16,12.9,0.105,NA,NA,88
1003351,2014,Fagus sylvatica,19.38,13,0.12,NA,NA,88
1003351,2014,Fagus sylvatica,21.3,13,0.145,NA,NA,88
1003351,2014,Fagus sylvatica,26.39,22.3,0.47,NA,NA,312
1003351,2014,Fagus sylvatica,42.22,32.2,1.943,NA,NA,135
1003351,2014,Picea abies,48.5,37.1,2.16,NA,NA,15
1003351,2014,other broadleaved,42,29.1,1.632,NA,NA,30
1003351,2014,other broadleaved,29.34,33.4,0.988,NA,NA,78
100733,2000,Fagus sylvatica,9.43,13.3,0.04,NA,NA,88
100733,2000,Fagus sylvatica,12.59,14.9,0.076,NA,NA,88
100733,2000,Fagus sylvatica,15.06,20.2,0.152,NA,NA,88
100733,2000,Fagus sylvatica,46.94,25.2,1.852,NA,NA,28
100733,2000,Picea abies,7,3.9,0.009,NA,NA,88
100733,2000,Picea abies,14.1,8.3,0.05,NA,NA,88
100733,2000,Populus tremula,26.61,16.4,0.334,NA,NA,39
100733,2000,Populus tremula,30.91,22.9,0.682,NA,NA,117
100733,2000,other broadleaved,7.54,9.6,0.019,NA,NA,88
100733,2000,other broadleaved,8.31,9.2,0.021,NA,NA,264
100733,2000,other broadleaved,8.84,9.7,0.025,NA,NA,88
100733,2000,other broadleaved,8.93,11.5,0.03,NA,NA,88
100733,2000,other broadleaved,9.86,14.2,0.046,NA,NA,88
100733,2000,other broadleaved,10.53,12.5,0.045,NA,NA,177
100733,2000,other broadleaved,13.88,16.8,0.104,NA,NA,88
100733,2000,other broadleaved,18.37,22.7,0.259,NA,NA,88
100733,2000,other broadleaved,38.23,21.3,1.014,NA,NA,14
100733,2001,Fagus sylvatica,9.55,13.9,0.042,NA,NA,88
100733,2001,Fagus sylvatica,13.04,15.8,0.084,NA,NA,88
100733,2001,Fagus sylvatica,15.42,20.9,0.163,NA,NA,88
100733,2001,Fagus sylvatica,47.73,26.1,1.929,NA,NA,28
100733,2001,Picea abies,7,5.1,0.009,NA,NA,88
100733,2001,Picea abies,14.1,8.6,0.052,NA,NA,88
100733,2001,Populus tremula,27.31,17.7,0.359,NA,NA,39
100733,2001,Populus tremula,31.47,23.9,0.716,NA,NA,117
100733,2001,other broadleaved,7.68,10.4,0.02,NA,NA,88
100733,2001,other broadleaved,8.46,10,0.023,NA,NA,264
100733,2001,other broadleaved,9,10.5,0.027,NA,NA,88
100733,2001,other broadleaved,9.05,12.2,0.032,NA,NA,88
100733,2001,other broadleaved,10.02,14.9,0.048,NA,NA,88
100733,2001,other broadleaved,10.65,13.1,0.046,NA,NA,177
100733,2001,other broadleaved,14.31,17.6,0.114,NA,NA,88
100733,2001,other broadleaved,18.76,23.4,0.276,NA,NA,88
100733,2001,other broadleaved,39,22.2,1.065,NA,NA,14
100733,2002,Fagus sylvatica,9.71,14.6,0.043,NA,NA,88
100733,2002,Fagus sylvatica,13.43,16.6,0.091,NA,NA,88
100733,2002,Fagus sylvatica,15.8,21.6,0.175,NA,NA,88
