id_plot;xl93;yl93;elevation;pH;slope;expo;depth_layer1;depth_total;text_layer1;text_layer2;rockContent;swhc;CN_ratio;humus
3973;945445;6526692;851;5.8568216822381;40;0;6;8;5;2;1;92.8395;18.4095552404762;45
4740;939468;6528742;868;6.56579391266667;24;340;NA;4;0;7;4;23.664;12.4997499766667;31
5946;931355;6514824;961;5.36054672138095;50;345;NA;4;0;9;3;26.649;20.7142142790476;40
9974;941345;6514738;1048;6.88561177852174;76;140;NA;1;0;6;7;0.507;23.3296511468182;20
11212;935368;6516787;1235;5.811629163;90;330;NA;4;0;0;9;0;24.5951738028571;20
13756;951250;6504661;452;7.27177882078571;82;120;NA;4;0;9;7;8.883;22.0385884746154;50
15569;943223;6500734;592;6.4954652965625;0;NA;6;9;5;9;0;101.25;13.187443744375;45
17029;939210;6498770;1016;6.43305468785294;74;135;NA;4;0;7;3;31.059;17.8496673188235;31
17423;945359;6516701;1377;5.7561917496087;NA;NA;NA;4;0;9;1;30.456;21.5248046547826;22
17890;953386;6520629;818;6.25188093807143;29;56;3;7;5;7;1;79.677;17.7768848314286;40
19112;939296;6508761;1215;5.99350999817647;38;78;NA;3;0;7;3;13.09;25.7450450929412;20
19783;949286;6508674;946;6.223971397;55;40;NA;5;0;9;3;35.3535;10.82508251;31
19970;941259;6504747;992;6.65767031695;50;170;5;6;6;5;5;42.16875;18.690181518125;31
24741;933319;6510810;1362;6.32973364;15;7;NA;3;0;0;8;0;28.249699969375;20
27409;957313;6512602;696;7.07556088933333;16;145;3;8;5;7;0;100.1325;12.6527652766667;40
34513;937418;6522764;546;6.5479676768;55;135;NA;4;0;5;2;44.304;18.1558955896;55
35067;943395;6520715;857;5.88783667255556;14;260;4;7;6;2;0;89.31;22.4627462744444;22
35598;931269;6504833;959;7.345021002;66;143;NA;3;0;0;8;0;26.135613562;20
41267;949372;6518665;1359;6.18881288125;51;225;4;9;5;9;1;91.52325;16.7666766675;50
46362;939382;6518751;939;6.95091709169565;22;165;NA;1;0;0;9;0;24.9733544790476;20
47342;935196;6496806;499;7.50387253014286;55;275;NA;2;0;6;8;4.326;20.8318331835;55
48257;947409;6522678;1115;6.08058579765217;70;105;2;4;5;7;4;12.816;18.64114983;42
48719;955349;6516615;1682;5.91925905415385;NA;NA;NA;3;0;6;7;1.347;21.29124341;42
51429;963376;6520542;807;5.882667141625;45;105;NA;7;0;4;1;75.816;13.4657215725;31
53063;947323;6512688;955;6.1643520352;70;325;NA;4;0;7;3;31.059;12.01320132;22
100733;955298;6510621;946;6.223549555;57;120;NA;3;0;5;6;15.552;21.483948395;40
107661;939416;6522747;1052;6.0263463012381;70;NA;NA;4;0;5;5;8.52;14.213621363;42
110132;933267;6504816;1218;5.94925698822917;15;65;NA;6;0;7;1;64.14525;19.0022638625;42
110494;941208;6498753;924;6.643010341;36;228;NA;4;0;5;3;31.808;16.6670417045833;31
113665;961361;6518561;1292;7.05686183830435;110;200;NA;3;0;7;4;13.464;22.6376585026316;45
116338;953420;6524625;696;6.80545384084091;83;305;NA;5;0;0;7;0;21.6218200765789;20
124223;939330;6512757;1198;5.6910473047;78;375;NA;9;0;6;0;125.6775;20.0721651115789;31
124697;943430;6524711;862;5.9603269375;NA;NA;NA;4;0;5;4;33.228;17.13021302125;55
129055;933353;6514806;1298;6.15169924688462;50;135;4;8;6;5;1;99.42075;19.0846776980769;31
129162;947357;6516684;1335;6.33498803206667;46;315;2;4;6;5;4;24.402;14.6189618975;31
129610;935126;6507203;1028;6.54441453236364;32;275;NA;9;0;5;0;121.68;14.373437344;50
130672;945221;6500717;310;6.7225597894;0;NA;NA;4;0;6;0;57.4275;11.171617161875;55
132454;935403;6520784;768;6.14678945666667;45;365;NA;3;0;0;7;0;18.40159016;20
133454;941294;6508743;1188;6.89078475345;60;250;1;3;7;9;4;17.604;19.2902525544118;42
137487;935317;6510793;1216;5.75294604464286;15;60;5;6;5;7;4;29.628;21.5132624377778;20
144948;945307;6510707;961;6.1280347368;32;330;NA;4;0;7;6;17.748;18.7422535358621;42
146121;947443;6526675;888;6.17652379533333;44;112;NA;8;0;4;0;104.0325;15.9871776652632;50
148941;941466;6528724;1443;6.1944151082;19;5;NA;3;0;6;7;10.776;24.1207291458537;21
152235;937366;6516770;1209;5.7876489027931;20;45;NA;3;0;6;6;10.776;21.1094902593103;20
152810;945393;6520697;1142;6.5651486816;65;125;1;9;6;5;0;122.5575;19.2143352265517;50
154188;939244;6502766;1167;6.5174604204186;45;315;NA;4;0;7;8;3.944;15.7345734575;25
154373;955384;6520611;690;6.1042902291;22;95;NA;4;0;5;3;38.766;13.4363436333333;31
154825;949407;6522661;812;5.84111158489474;76;15;NA;5;0;5;1;61.776;16.3517930747368;50
206374;931338;6512826;1112;6.90867103366667;78;257;NA;8;0;6;8;20.682;16.2237132827273;20
206485;941242;6502749;1066;5.70109710967857;72;390;2;9;5;7;0;110.0775;19.4925206803571;42
