"site","year","species","D_cm","H_m","V_m3","X","Y","weight"
3973,2000,"Fagus sylvatica",39.7151918989,NA,NA,NA,NA,14.14
3973,2000,"Picea abies",55.4935809648235,NA,NA,NA,NA,14.14
3973,2000,"Picea abies",37.6695623157735,NA,NA,NA,NA,14.14
3973,2000,"Picea abies",38.0928630163167,NA,NA,NA,NA,14.14
3973,2000,"Picea abies",37.0316075661637,NA,NA,NA,NA,14.14
3973,2000,"Picea abies",35.5450489496042,NA,NA,NA,NA,39.28
3973,2000,"Fagus sylvatica",20.6752056862502,NA,NA,NA,NA,39.29
3973,2000,"Fagus sylvatica",29.4752673197376,NA,NA,NA,NA,39.28
3973,2000,"Picea abies",33.9561694731697,NA,NA,NA,NA,39.28
3973,2000,"Picea abies",28.9675346199672,NA,NA,NA,NA,39.29
3973,2000,"Fagus sylvatica",24.1180074758944,NA,NA,NA,NA,39.29
3973,2000,"Fagus sylvatica",8.8195972862799,NA,NA,NA,NA,88.41
3973,2000,"Fagus sylvatica",6.85572974789591,NA,NA,NA,NA,88.41
3973,2000,"Picea abies",10.7168778272684,NA,NA,NA,NA,88.41
4740,2000,"Picea abies",93.585109003898,NA,NA,NA,NA,14.13
4740,2000,"Picea abies",59.8455960456585,NA,NA,NA,NA,14.14
4740,2000,"Abies alba",46.6963959471056,NA,NA,NA,NA,14.14
4740,2000,"Abies alba",40.9668179957973,NA,NA,NA,NA,14.14
4740,2000,"Abies alba",49.8811367049659,NA,NA,NA,NA,14.14
4740,2000,"Fagus sylvatica",38.6327101449937,NA,NA,NA,NA,14.14
4740,2000,"Abies alba",29.9326225734334,NA,NA,NA,NA,39.28
4740,2000,"Fagus sylvatica",22.829831015463,NA,NA,NA,NA,39.29
4740,2000,"Sorbus aria",24.8129179016233,NA,NA,NA,NA,39.29
4740,2000,"Sorbus aria",23.2213684707044,NA,NA,NA,NA,39.29
4740,2000,"Sorbus aria",27.6853334876336,NA,NA,NA,NA,39.29
4740,2000,"Sorbus aria",22.592375308693,NA,NA,NA,NA,39.29
4740,2000,"Sorbus aria",27.4705846933924,NA,NA,NA,NA,39.29
4740,2000,"Fagus sylvatica",27.8837178888186,NA,NA,NA,NA,39.29
4740,2000,"Abies alba",16.0254286953032,NA,NA,NA,NA,88.4
4740,2000,"Quercus robur",24.7095862474569,NA,NA,NA,NA,39.29
5946,2000,"Abies alba",68.6663456778768,NA,NA,NA,NA,14.14
5946,2000,"Abies alba",41.926673342416,NA,NA,NA,NA,14.14
5946,2000,"Abies alba",55.8190901563444,NA,NA,NA,NA,14.14
5946,2000,"Abies alba",51.7827865419565,NA,NA,NA,NA,14.14
5946,2000,"Abies alba",39.5820021689263,NA,NA,NA,NA,14.14
5946,2000,"Abies alba",61.2352839095361,NA,NA,NA,NA,14.14
5946,2000,"Picea abies",24.4055379104136,NA,NA,NA,NA,39.29
5946,2000,"Fagus sylvatica",8.37373530474112,NA,NA,NA,NA,88.41
5946,2000,"Fagus sylvatica",19.19627143499,NA,NA,NA,NA,88.39
5946,2000,"Fagus sylvatica",8.50128740009611,NA,NA,NA,NA,88.41
5946,2000,"Fagus sylvatica",13.2219274715717,NA,NA,NA,NA,88.41
5946,2000,"Fagus sylvatica",20.1121297879563,NA,NA,NA,NA,88.39
5946,2000,"Fagus sylvatica",8.93221246593864,NA,NA,NA,NA,88.41
5946,2000,"Fagus sylvatica",8.52082305288861,NA,NA,NA,NA,88.41
9974,2000,"Abies alba",28.6528154446085,NA,NA,NA,NA,39.29
9974,2000,"Quercus petraea",15.2601521675957,NA,NA,NA,NA,88.4
9974,2000,"Quercus petraea",16.3336667010258,NA,NA,NA,NA,88.4
9974,2000,"Quercus petraea",12.2955006862891,NA,NA,NA,NA,88.41
9974,2000,"Sorbus aria",6.88400318338851,NA,NA,NA,NA,88.42
9974,2000,"Acer opalus",6.69537581136138,NA,NA,NA,NA,265.25
9974,2000,"Quercus petraea",14.5236698895756,NA,NA,NA,NA,88.41
9974,2000,"Quercus petraea",18.0250786375973,NA,NA,NA,NA,88.4
9974,2000,"Quercus petraea",12.1956381806366,NA,NA,NA,NA,88.41
9974,2000,"Quercus petraea",13.2504303448404,NA,NA,NA,NA,88.41
9974,2000,"Tilia platyphyllos",9.97116756364004,NA,NA,NA,NA,88.41
9974,2000,"Tilia platyphyllos",11.562716994559,NA,NA,NA,NA,88.41
9974,2000,"Tilia platyphyllos",18.1360369021199,NA,NA,NA,NA,88.4
9974,2000,"Quercus petraea",9.64915909116623,NA,NA,NA,NA,88.41
11212,2000,"Fagus sylvatica",28.2560359962836,NA,NA,NA,NA,39.29
11212,2000,"Fagus sylvatica",23.1435421645505,NA,NA,NA,NA,39.29
11212,2000,"Fagus sylvatica",26.1404819726559,NA,NA,NA,NA,39.29
11212,2000,"Fagus sylvatica",25.0534014816532,NA,NA,NA,NA,39.29
11212,2000,"Fagus sylvatica",23.7801619369181,NA,NA,NA,NA,39.29
11212,2000,"Sorbus aria",7.95774715459477,NA,NA,NA,NA,88.42
11212,2000,"Sorbus aria",10.8225361302489,NA,NA,NA,NA,88.41
11212,2000,"Sorbus aria",10.0747286555826,NA,NA,NA,NA,88.41
11212,2000,"Fagus sylvatica",13.481630399378,NA,NA,NA,NA,88.41
11212,2000,"Fagus sylvatica",15.5041048961395,NA,NA,NA,NA,88.4
11212,2000,"Fagus sylvatica",18.5745885783186,NA,NA,NA,NA,88.4
11212,2000,"Fagus sylvatica",11.890080968459,NA,NA,NA,NA,88.41
11212,2000,"Fagus sylvatica",19.323823530345,NA,NA,NA,NA,88.4
11212,2000,"Fagus sylvatica",19.8478281230538,NA,NA,NA,NA,88.39
11212,2000,"Fagus sylvatica",14.7744055969056,NA,NA,NA,NA,88.4
13756,2000,"Quercus petraea",25.6270711675558,NA,NA,NA,NA,39.29
13756,2000,"Quercus petraea",25.6457935367821,NA,NA,NA,NA,39.29
13756,2000,"Quercus petraea",22.8995894360067,NA,NA,NA,NA,39.29
13756,2000,"Quercus petraea",12.8322579530041,NA,NA,NA,NA,176.82
13756,2000,"Quercus petraea",15.0604271562907,NA,NA,NA,NA,176.81
13756,2000,"Quercus petraea",20.2532478408838,NA,NA,NA,NA,176.79
13756,2000,"Quercus petraea",20.6714202327201,NA,NA,NA,NA,176.78
13756,2000,"Quercus petraea",18.9800082961487,NA,NA,NA,NA,176.79
13756,2000,"Quercus petraea",18.8801457904962,NA,NA,NA,NA,176.79
13756,2000,"Acer opalus",12.5274343242303,NA,NA,NA,NA,88.41
13756,2000,"Carpinus betulus",12.65786781164,NA,NA,NA,NA,88.41
15569,2000,"Castanea sativa",85.0637780945141,NA,NA,NA,NA,14.14
15569,2000,"Castanea sativa",115.321856169146,NA,NA,NA,NA,14.13
15569,2000,"Populus nigra",96.1143324067923,NA,NA,NA,NA,14.13
15569,2000,"Populus nigra",90.5918766393692,NA,NA,NA,NA,14.13
15569,2000,"Carpinus betulus",22.6202012623864,NA,NA,NA,NA,39.29
15569,2000,"Castanea sativa",21.7201107439397,NA,NA,NA,NA,39.29
15569,2000,"Carpinus betulus",28.6680890998784,NA,NA,NA,NA,39.28
15569,2000,"Fraxinus excelsior",27.7971724589676,NA,NA,NA,NA,39.29
15569,2000,"Fraxinus excelsior",25.0365958442914,NA,NA,NA,NA,39.29
15569,2000,"Castanea sativa",9.21234781215836,NA,NA,NA,NA,88.41
15569,2000,"Corylus avellana",10.3036481192307,NA,NA,NA,NA,176.82
15569,2000,"Carpinus betulus",19.7731037350146,NA,NA,NA,NA,88.39
15569,2000,"Castanea sativa",15.0542420212517,NA,NA,NA,NA,88.4
