year,species,D_cm,H_m,V_m3,X_utm,Y_utm
1998,piab,7.43,12.7,0.029,NA,NA
1998,piab,7.43,12.7,0.029,NA,NA
1998,piab,8.26,13.8,0.038,NA,NA
1998,piab,8.26,13.8,0.038,NA,NA
1998,piab,8.26,13.8,0.038,NA,NA
1998,piab,8.26,13.8,0.038,NA,NA
1998,piab,8.26,13.8,0.038,NA,NA
1998,piab,8.26,13.8,0.038,NA,NA
1998,piab,9.56,15.4,0.055,NA,NA
1998,piab,9.56,15.4,0.055,NA,NA
1998,piab,9.56,15.4,0.055,NA,NA
1998,piab,9.56,15.4,0.055,NA,NA
1998,piab,9.56,15.4,0.055,NA,NA
1998,piab,9.56,15.4,0.055,NA,NA
1998,piab,9.56,15.4,0.055,NA,NA
1998,piab,9.56,15.4,0.055,NA,NA
1998,piab,9.56,15.4,0.055,NA,NA
1998,piab,9.56,15.4,0.055,NA,NA
1998,piab,10.44,16.3,0.068,NA,NA
1998,piab,10.44,16.3,0.068,NA,NA
1998,piab,10.44,16.3,0.068,NA,NA
1998,piab,10.44,16.3,0.068,NA,NA
1998,piab,10.44,16.3,0.068,NA,NA
1998,piab,10.44,16.3,0.068,NA,NA
1998,piab,10.44,16.3,0.068,NA,NA
1998,piab,10.44,16.3,0.068,NA,NA
1998,piab,11.16,17,0.08,NA,NA
1998,piab,11.16,17,0.08,NA,NA
1998,piab,11.16,17,0.08,NA,NA
1998,piab,11.16,17,0.08,NA,NA
1998,piab,11.16,17,0.08,NA,NA
1998,piab,11.16,17,0.08,NA,NA
1998,piab,12.41,18.1,0.103,NA,NA
1998,piab,12.41,18.1,0.103,NA,NA
1998,piab,12.41,18.1,0.103,NA,NA
1998,piab,12.41,18.1,0.103,NA,NA
1998,piab,12.41,18.1,0.103,NA,NA
1998,piab,12.41,18.1,0.103,NA,NA
1998,piab,12.41,18.1,0.103,NA,NA
1998,piab,12.41,18.1,0.103,NA,NA
1998,piab,13.41,18.9,0.124,NA,NA
1998,piab,13.41,18.9,0.124,NA,NA
1998,piab,13.41,18.9,0.124,NA,NA
1998,piab,13.41,18.9,0.124,NA,NA
1998,piab,13.41,18.9,0.124,NA,NA
1998,piab,13.41,18.9,0.124,NA,NA
