year,species,D_cm,H_m,V_m3,X_utm,Y_utm
1967,fasy,17.6,16.2,0.162,NA,NA
1967,fasy,17.6,16.2,0.162,NA,NA
1967,fasy,18.23,17.8,0.193,NA,NA
1967,fasy,18.23,17.8,0.193,NA,NA
1967,fasy,18.23,17.8,0.193,NA,NA
1967,fasy,19.43,19,0.235,NA,NA
1967,fasy,19.43,19,0.235,NA,NA
1967,fasy,19.43,19,0.235,NA,NA
1967,fasy,20.8,22.2,0.326,NA,NA
1967,fasy,20.8,22.2,0.326,NA,NA
1967,fasy,21.42,20.3,0.31,NA,NA
1967,fasy,21.42,20.3,0.31,NA,NA
1967,fasy,21.42,20.3,0.31,NA,NA
1967,fasy,21.42,20.3,0.31,NA,NA
1967,fasy,21.42,20.3,0.31,NA,NA
1967,fasy,22.3,22.8,0.384,NA,NA
1967,fasy,22.3,22.8,0.384,NA,NA
1967,fasy,23.2,21.2,0.385,NA,NA
1967,fasy,23.2,21.2,0.385,NA,NA
1967,fasy,23.2,21.2,0.385,NA,NA
1967,fasy,23.2,21.2,0.385,NA,NA
1967,fasy,24.5,22.3,0.451,NA,NA
1967,fasy,24.5,22.3,0.451,NA,NA
1967,fasy,24.5,22.3,0.451,NA,NA
1967,fasy,24.5,22.3,0.451,NA,NA
1967,fasy,24.5,22.3,0.451,NA,NA
1967,fasy,24.5,22.3,0.451,NA,NA
1967,fasy,25.7,22.5,0.503,NA,NA
1967,fasy,26.32,23,0.539,NA,NA
1967,fasy,26.32,23,0.539,NA,NA
1967,fasy,26.32,23,0.539,NA,NA
1967,fasy,26.32,23,0.539,NA,NA
1967,fasy,26.32,23,0.539,NA,NA
1967,fasy,27.42,23.7,0.603,NA,NA
1967,fasy,27.42,23.7,0.603,NA,NA
1967,fasy,27.42,23.7,0.603,NA,NA
1967,fasy,27.42,23.7,0.603,NA,NA
1967,fasy,27.42,23.7,0.603,NA,NA
1967,fasy,27.42,23.7,0.603,NA,NA
1967,fasy,28.42,22.1,0.603,NA,NA
1967,fasy,28.42,22.1,0.603,NA,NA
1967,fasy,28.42,22.1,0.603,NA,NA
1967,fasy,28.42,22.1,0.603,NA,NA
1967,fasy,28.42,22.1,0.603,NA,NA
1967,fasy,28.42,22.1,0.603,NA,NA
1967,fasy,29.4,23.4,0.684,NA,NA
1967,fasy,29.4,23.4,0.684,NA,NA
1967,fasy,29.4,23.4,0.684,NA,NA
1967,fasy,29.4,23.4,0.684,NA,NA
1967,fasy,29.4,23.4,0.684,NA,NA
1967,fasy,29.4,23.4,0.684,NA,NA
1967,fasy,29.4,23.4,0.684,NA,NA
1967,fasy,29.4,23.4,0.684,NA,NA
1967,fasy,29.4,23.4,0.684,NA,NA
1967,fasy,30.41,23.6,0.737,NA,NA
1967,fasy,30.41,23.6,0.737,NA,NA
1967,fasy,30.41,23.6,0.737,NA,NA
1967,fasy,30.41,23.6,0.737,NA,NA
1967,fasy,30.41,23.6,0.737,NA,NA
1967,fasy,30.41,23.6,0.737,NA,NA
1967,fasy,30.41,23.6,0.737,NA,NA
1967,fasy,30.41,23.6,0.737,NA,NA
1967,fasy,30.41,23.6,0.737,NA,NA
1967,fasy,30.41,23.6,0.737,NA,NA
1967,fasy,30.41,23.6,0.737,NA,NA
1967,fasy,30.41,23.6,0.737,NA,NA
1967,fasy,30.41,23.6,0.737,NA,NA
1967,fasy,30.41,23.6,0.737,NA,NA
1967,fasy,31.54,24.9,0.842,NA,NA
1967,fasy,31.54,24.9,0.842,NA,NA
1967,fasy,31.54,24.9,0.842,NA,NA
1967,fasy,31.54,24.9,0.842,NA,NA
1967,fasy,31.54,24.9,0.842,NA,NA
1967,fasy,32.47,23.6,0.844,NA,NA
1967,fasy,32.47,23.6,0.844,NA,NA
1967,fasy,32.47,23.6,0.844,NA,NA
1967,fasy,32.47,23.6,0.844,NA,NA
1967,fasy,32.47,23.6,0.844,NA,NA
1967,fasy,32.47,23.6,0.844,NA,NA
1967,fasy,32.47,23.6,0.844,NA,NA
1967,fasy,32.47,23.6,0.844,NA,NA
1967,fasy,32.47,23.6,0.844,NA,NA
1967,fasy,32.47,23.6,0.844,NA,NA
1967,fasy,33.51,23.4,0.884,NA,NA
1967,fasy,33.51,23.4,0.884,NA,NA
1967,fasy,33.51,23.4,0.884,NA,NA
1967,fasy,33.51,23.4,0.884,NA,NA
1967,fasy,33.51,23.4,0.884,NA,NA
1967,fasy,33.51,23.4,0.884,NA,NA
1967,fasy,33.51,23.4,0.884,NA,NA
1967,fasy,34.56,25.2,1.025,NA,NA
1967,fasy,34.56,25.2,1.025,NA,NA
1967,fasy,34.56,25.2,1.025,NA,NA
1967,fasy,34.56,25.2,1.025,NA,NA
1967,fasy,34.56,25.2,1.025,NA,NA
1967,fasy,34.56,25.2,1.025,NA,NA
1967,fasy,34.56,25.2,1.025,NA,NA
1967,fasy,34.56,25.2,1.025,NA,NA
1967,fasy,35.46,25.4,1.088,NA,NA
1967,fasy,35.46,25.4,1.088,NA,NA
1967,fasy,35.46,25.4,1.088,NA,NA
1967,fasy,35.46,25.4,1.088,NA,NA
1967,fasy,35.46,25.4,1.088,NA,NA
1967,fasy,35.46,25.4,1.088,NA,NA
1967,fasy,35.46,25.4,1.088,NA,NA
1967,fasy,35.46,25.4,1.088,NA,NA
1967,fasy,35.46,25.4,1.088,NA,NA
1967,fasy,36.5,25.5,1.158,NA,NA
1967,fasy,36.5,25.5,1.158,NA,NA
1967,fasy,36.5,25.5,1.158,NA,NA
1967,fasy,36.5,25.5,1.158,NA,NA
1967,fasy,36.5,25.5,1.158,NA,NA
1967,fasy,36.5,25.5,1.158,NA,NA
1967,fasy,36.5,25.5,1.158,NA,NA
1967,fasy,36.5,25.5,1.158,NA,NA
1967,fasy,36.5,25.5,1.158,NA,NA
1967,fasy,37.46,25.7,1.223,NA,NA
1967,fasy,37.46,25.7,1.223,NA,NA
1967,fasy,37.46,25.7,1.223,NA,NA
1967,fasy,37.46,25.7,1.223,NA,NA
1967,fasy,37.46,25.7,1.223,NA,NA
1967,fasy,37.46,25.7,1.223,NA,NA
1967,fasy,37.46,25.7,1.223,NA,NA
1967,fasy,37.46,25.7,1.223,NA,NA
1967,fasy,37.46,25.7,1.223,NA,NA
1967,fasy,37.46,25.7,1.223,NA,NA
1967,fasy,37.46,25.7,1.223,NA,NA
1967,fasy,37.46,25.7,1.223,NA,NA
1967,fasy,37.46,25.7,1.223,NA,NA
1967,fasy,37.46,25.7,1.223,NA,NA
1967,fasy,37.46,25.7,1.223,NA,NA
1967,fasy,38.42,25.7,1.294,NA,NA
1967,fasy,38.42,25.7,1.294,NA,NA
1967,fasy,38.42,25.7,1.294,NA,NA
1967,fasy,38.42,25.7,1.294,NA,NA
1967,fasy,38.42,25.7,1.294,NA,NA
1967,fasy,38.42,25.7,1.294,NA,NA
1967,fasy,38.42,25.7,1.294,NA,NA
1967,fasy,38.42,25.7,1.294,NA,NA
1967,fasy,38.42,25.7,1.294,NA,NA
1967,fasy,38.42,25.7,1.294,NA,NA
1967,fasy,38.42,25.7,1.294,NA,NA
1967,fasy,38.42,25.7,1.294,NA,NA
1967,fasy,38.42,25.7,1.294,NA,NA
1967,fasy,38.42,25.7,1.294,NA,NA
1967,fasy,39.48,25.3,1.343,NA,NA
1967,fasy,39.48,25.3,1.343,NA,NA
1967,fasy,39.48,25.3,1.343,NA,NA
1967,fasy,39.48,25.3,1.343,NA,NA
1967,fasy,39.48,25.3,1.343,NA,NA
1967,fasy,39.48,25.3,1.343,NA,NA
1967,fasy,39.48,25.3,1.343,NA,NA
1967,fasy,39.48,25.3,1.343,NA,NA
1967,fasy,39.48,25.3,1.343,NA,NA
1967,fasy,39.48,25.3,1.343,NA,NA
1967,fasy,39.48,25.3,1.343,NA,NA
1967,fasy,39.48,25.3,1.343,NA,NA
1967,fasy,39.48,25.3,1.343,NA,NA
1967,fasy,40.41,25.8,1.427,NA,NA
1967,fasy,40.41,25.8,1.427,NA,NA
1967,fasy,40.41,25.8,1.427,NA,NA
1967,fasy,40.41,25.8,1.427,NA,NA
1967,fasy,40.41,25.8,1.427,NA,NA
1967,fasy,40.41,25.8,1.427,NA,NA
1967,fasy,40.41,25.8,1.427,NA,NA
1967,fasy,40.41,25.8,1.427,NA,NA
1967,fasy,40.41,25.8,1.427,NA,NA
1967,fasy,40.41,25.8,1.427,NA,NA
1967,fasy,40.41,25.8,1.427,NA,NA
1967,fasy,40.41,25.8,1.427,NA,NA
1967,fasy,40.41,25.8,1.427,NA,NA
1967,fasy,41.44,25.8,1.506,NA,NA
1967,fasy,41.44,25.8,1.506,NA,NA
1967,fasy,41.44,25.8,1.506,NA,NA
1967,fasy,41.44,25.8,1.506,NA,NA
1967,fasy,41.44,25.8,1.506,NA,NA
1967,fasy,41.44,25.8,1.506,NA,NA
1967,fasy,41.44,25.8,1.506,NA,NA
1967,fasy,41.44,25.8,1.506,NA,NA
1967,fasy,41.44,25.8,1.506,NA,NA
1967,fasy,41.44,25.8,1.506,NA,NA
1967,fasy,41.44,25.8,1.506,NA,NA
1967,fasy,41.44,25.8,1.506,NA,NA
1967,fasy,41.44,25.8,1.506,NA,NA
1967,fasy,41.44,25.8,1.506,NA,NA
1967,fasy,42.45,25.9,1.586,NA,NA
1967,fasy,42.45,25.9,1.586,NA,NA
1967,fasy,42.45,25.9,1.586,NA,NA
1967,fasy,42.45,25.9,1.586,NA,NA
1967,fasy,42.45,25.9,1.586,NA,NA
1967,fasy,42.45,25.9,1.586,NA,NA
1967,fasy,42.45,25.9,1.586,NA,NA
1967,fasy,42.45,25.9,1.586,NA,NA
1967,fasy,43.33,26.7,1.711,NA,NA
1967,fasy,43.33,26.7,1.711,NA,NA
1967,fasy,43.33,26.7,1.711,NA,NA
1967,fasy,43.33,26.7,1.711,NA,NA
1967,fasy,43.33,26.7,1.711,NA,NA
1967,fasy,43.33,26.7,1.711,NA,NA
1967,fasy,43.33,26.7,1.711,NA,NA
1967,fasy,43.33,26.7,1.711,NA,NA
1967,fasy,44.56,26.1,1.757,NA,NA
1967,fasy,44.56,26.1,1.757,NA,NA
1967,fasy,44.56,26.1,1.757,NA,NA
1967,fasy,44.56,26.1,1.757,NA,NA
1967,fasy,44.56,26.1,1.757,NA,NA
1967,fasy,44.56,26.1,1.757,NA,NA
1967,fasy,44.56,26.1,1.757,NA,NA
1967,fasy,44.56,26.1,1.757,NA,NA
1967,fasy,44.56,26.1,1.757,NA,NA
1967,fasy,44.56,26.1,1.757,NA,NA
1967,fasy,44.56,26.1,1.757,NA,NA
1967,fasy,44.56,26.1,1.757,NA,NA
1967,fasy,45.63,25.8,1.822,NA,NA
1967,fasy,45.63,25.8,1.822,NA,NA
1967,fasy,45.63,25.8,1.822,NA,NA
1967,fasy,46.45,26.2,1.913,NA,NA
1967,fasy,46.45,26.2,1.913,NA,NA
1967,fasy,46.45,26.2,1.913,NA,NA
1967,fasy,46.45,26.2,1.913,NA,NA
1967,fasy,46.45,26.2,1.913,NA,NA
1967,fasy,46.45,26.2,1.913,NA,NA
1967,fasy,47.5,27.1,2.074,NA,NA
1967,fasy,47.5,27.1,2.074,NA,NA
1967,fasy,47.5,27.1,2.074,NA,NA
1967,fasy,47.5,27.1,2.074,NA,NA
1967,fasy,47.5,27.1,2.074,NA,NA
1967,fasy,48.4,25.6,2.016,NA,NA
1967,fasy,48.4,25.6,2.016,NA,NA
1967,fasy,48.4,25.6,2.016,NA,NA
1967,fasy,48.4,25.6,2.016,NA,NA
1967,fasy,49.7,26.2,2.192,NA,NA
1967,fasy,49.7,26.2,2.192,NA,NA
1967,fasy,50.5,27.2,2.34,NA,NA
1967,fasy,50.5,27.2,2.34,NA,NA
1967,fasy,50.5,27.2,2.34,NA,NA
1967,fasy,51.43,26.8,2.399,NA,NA
1967,fasy,51.43,26.8,2.399,NA,NA
1967,fasy,51.43,26.8,2.399,NA,NA
1967,fasy,52.2,27,2.477,NA,NA
1967,fasy,54.8,27.5,2.773,NA,NA
1967,fasy,54.8,27.5,2.773,NA,NA
1967,fasy,55.2,27.5,2.819,NA,NA
1967,fasy,62.5,26.8,3.492,NA,NA
1967,fasy,62.5,26.8,3.492,NA,NA
