"year","species","D_cm","H_m","V_m3","X_utm","Y_utm"
1967,"fasy",34.2,24.49,NA,NA,NA
1967,"fasy",41.5,25.92,NA,NA,NA
1967,"fasy",39.1,25.5,NA,NA,NA
1967,"fasy",29.6,23.31,NA,NA,NA
1967,"fasy",32.8,24.16,NA,NA,NA
1967,"fasy",44.4,26.39,NA,NA,NA
1967,"fasy",50.2,27.18,NA,NA,NA
1967,"fasy",30.5,23.56,NA,NA,NA
1967,"fasy",44.6,26.42,NA,NA,NA
1967,"fasy",23.4,21.21,NA,NA,NA
1967,"fasy",40.3,25.72,NA,NA,NA
1967,"fasy",40.7,25.79,NA,NA,NA
1967,"fasy",38.5,25.39,NA,NA,NA
1967,"fasy",40.8,25.8,NA,NA,NA
1967,"fasy",51.2,27.3,NA,NA,NA
1967,"fasy",37.4,25.17,NA,NA,NA
1967,"fasy",45.7,26.58,NA,NA,NA
1967,"fasy",30.8,23.64,NA,NA,NA
1967,"fasy",48.7,26.99,NA,NA,NA
1967,"fasy",41.3,25.89,NA,NA,NA
1967,"fasy",41.1,25.85,NA,NA,NA
1967,"fasy",44.4,26.39,NA,NA,NA
1967,"fasy",28.6,23.02,NA,NA,NA
1967,"fasy",45.9,26.61,NA,NA,NA
1967,"fasy",40.6,25.77,NA,NA,NA
1967,"fasy",33.6,24.35,NA,NA,NA
1967,"fasy",23,21.05,NA,NA,NA
1967,"fasy",21.5,20.41,NA,NA,NA
1967,"fasy",21.3,20.32,NA,NA,NA
1967,"fasy",39.8,25.63,NA,NA,NA
1967,"fasy",19.9,19.65,NA,NA,NA
1967,"fasy",30.5,23.56,NA,NA,NA
1967,"fasy",30,23.42,NA,NA,NA
1967,"fasy",26.6,22.38,NA,NA,NA
1967,"fasy",36.4,24.97,NA,NA,NA
1967,"fasy",27.1,22.55,NA,NA,NA
1967,"fasy",24.4,21.6,NA,NA,NA
1967,"fasy",19.4,19.4,NA,NA,NA
1967,"fasy",42.6,26.1,NA,NA,NA
1967,"fasy",30.4,23.53,NA,NA,NA
1967,"fasy",33.9,24.42,NA,NA,NA
1967,"fasy",32.3,24.03,NA,NA,NA
1967,"fasy",37.3,25.15,NA,NA,NA
1967,"fasy",39.7,25.61,NA,NA,NA
1967,"fasy",46.5,26.69,NA,NA,NA
1967,"fasy",38.8,25.44,NA,NA,NA
1967,"fasy",36.1,24.9,NA,NA,NA
1967,"fasy",46.9,26.75,NA,NA,NA
1967,"fasy",25.7,22.07,NA,NA,NA
1967,"fasy",27.9,22.8,NA,NA,NA
1967,"fasy",42.6,26.1,NA,NA,NA
1967,"fasy",47.1,26.77,NA,NA,NA
1967,"fasy",41,25.84,NA,NA,NA
1967,"fasy",31.4,23.8,NA,NA,NA
1967,"fasy",27.4,22.64,NA,NA,NA
1967,"fasy",27.2,22.58,NA,NA,NA
1967,"fasy",38.5,25.39,NA,NA,NA
1967,"fasy",40.7,25.79,NA,NA,NA
1967,"fasy",40.2,25.7,NA,NA,NA
1967,"fasy",31.4,23.8,NA,NA,NA
1967,"fasy",38.3,25.35,NA,NA,NA
1967,"fasy",24.9,21.79,NA,NA,NA
1967,"fasy",47.9,26.88,NA,NA,NA
1967,"fasy",51.7,27.36,NA,NA,NA
1967,"fasy",30.3,23.51,NA,NA,NA
1967,"fasy",37.2,25.13,NA,NA,NA
1967,"fasy",22.5,20.84,NA,NA,NA
1967,"fasy",46,26.62,NA,NA,NA
1967,"fasy",37.7,25.23,NA,NA,NA
1967,"fasy",21.4,20.36,NA,NA,NA
1967,"fasy",42.3,26.06,NA,NA,NA
1967,"fasy",29.5,23.28,NA,NA,NA
1967,"fasy",39.9,25.64,NA,NA,NA
1967,"fasy",36.3,24.95,NA,NA,NA
1967,"fasy",37.7,25.23,NA,NA,NA
1967,"fasy",30.7,23.62,NA,NA,NA
1967,"fasy",39,25.48,NA,NA,NA
1967,"fasy",29.4,23.25,NA,NA,NA
1967,"fasy",29.7,23.34,NA,NA,NA
1967,"fasy",41.8,25.97,NA,NA,NA
1967,"fasy",44.6,26.42,NA,NA,NA
1967,"fasy",39.3,25.53,NA,NA,NA
1967,"fasy",37.9,25.27,NA,NA,NA
1967,"fasy",33.2,24.25,NA,NA,NA
1967,"fasy",43.4,26.23,NA,NA,NA
1967,"fasy",39.6,25.59,NA,NA,NA
1967,"fasy",43,26.17,NA,NA,NA
1967,"fasy",47.8,26.87,NA,NA,NA
1967,"fasy",40.1,25.68,NA,NA,NA
1967,"fasy",46.2,26.65,NA,NA,NA
1967,"fasy",18,18.65,NA,NA,NA
1967,"fasy",64.5,28.6,NA,NA,NA
1967,"fasy",30.3,23.51,NA,NA,NA
1967,"fasy",39.4,25.55,NA,NA,NA
1967,"fasy",42.3,26.06,NA,NA,NA
1967,"fasy",36.8,25.05,NA,NA,NA
1967,"fasy",44.5,26.4,NA,NA,NA
1967,"fasy",27.3,22.61,NA,NA,NA
1967,"fasy",35.7,24.82,NA,NA,NA
1967,"fasy",38.2,25.33,NA,NA,NA
1967,"fasy",35.5,24.78,NA,NA,NA
1967,"fasy",43.1,26.18,NA,NA,NA
1967,"fasy",41.9,25.99,NA,NA,NA
1967,"fasy",35.2,24.71,NA,NA,NA
1967,"fasy",30.6,23.59,NA,NA,NA
1967,"fasy",19,19.19,NA,NA,NA
1967,"fasy",41.3,25.89,NA,NA,NA
1967,"fasy",24.3,21.56,NA,NA,NA
1967,"fasy",26.2,22.25,NA,NA,NA
1967,"fasy",36.4,24.97,NA,NA,NA
1967,"fasy",32.8,24.16,NA,NA,NA
1967,"fasy",18.6,18.98,NA,NA,NA
1967,"fasy",41.4,25.91,NA,NA,NA
1967,"fasy",36.9,25.07,NA,NA,NA
1967,"fasy",37.5,25.19,NA,NA,NA
1967,"fasy",44.3,26.37,NA,NA,NA
1967,"fasy",17.4,18.31,NA,NA,NA
1967,"fasy",47.2,26.79,NA,NA,NA
1967,"fasy",36.1,24.9,NA,NA,NA
1967,"fasy",40.3,25.72,NA,NA,NA
1967,"fasy",43.5,26.25,NA,NA,NA
1967,"fasy",30.1,23.45,NA,NA,NA
1967,"fasy",60.5,28.26,NA,NA,NA
1967,"fasy",40.2,25.7,NA,NA,NA
