"year","species","D_cm","H_m","V_m3","X_utm","Y_utm"
1998,"acpl",17.7752,12.7459,NA,NA,NA
1998,"fasy",15.7183,12.2948,NA,NA,NA
1998,"fasy",37.8419,23.2008,NA,NA,NA
1998,"fasy",23.562,16.676,NA,NA,NA
1998,"fasy",42.4239,24.9574,NA,NA,NA
1998,"fasy",30.4135,20.0198,NA,NA,NA
1998,"fasy",16.3783,12.6882,NA,NA,NA
1998,"fasy",45.3604,26.008,NA,NA,NA
1998,"fasy",41.5737,24.6425,NA,NA,NA
1998,"fasy",31.4628,20.4958,NA,NA,NA
1998,"fasy",31.346,20.4433,NA,NA,NA
1998,"fasy",29.7985,19.7365,NA,NA,NA
1998,"fasy",27.2699,18.5376,NA,NA,NA
1998,"fasy",26.2394,18.0328,NA,NA,NA
1998,"fasy",24.5367,17.1777,NA,NA,NA
1998,"fasy",23.8226,16.8109,NA,NA,NA
1998,"fasy",23.702,16.7485,NA,NA,NA
1998,"fasy",20.3612,14.9638,NA,NA,NA
1998,"fasy",16.8065,12.9409,NA,NA,NA
1998,"fasy",36.055,22.4747,NA,NA,NA
1998,"fasy",35.8176,22.3764,NA,NA,NA
1998,"fasy",19.5852,14.5334,NA,NA,NA
1998,"fasy",19.2482,14.3446,NA,NA,NA
1998,"fasy",44.3778,25.6627,NA,NA,NA
1998,"fasy",42.3023,24.9127,NA,NA,NA
1998,"fasy",14.2954,11.4303,NA,NA,NA
1998,"fasy",11.4513,9.6332,NA,NA,NA
1998,"fasy",40.6056,24.2779,NA,NA,NA
1998,"fasy",39.7614,23.9546,NA,NA,NA
1998,"fasy",37.603,23.105,NA,NA,NA
1998,"fasy",22.8854,16.3223,NA,NA,NA
1998,"fasy",21.1917,15.4178,NA,NA,NA
1998,"fasy",20.7262,15.1642,NA,NA,NA
1998,"fasy",20.5855,15.0871,NA,NA,NA
1998,"fasy",27.562,18.679,NA,NA,NA
1998,"fasy",22.2461,15.9842,NA,NA,NA
1998,"fasy",35.462,22.2284,NA,NA,NA
1998,"fasy",34.1618,21.679,NA,NA,NA
1998,"fasy",33.5006,21.3946,NA,NA,NA
1998,"fasy",29.1632,19.4405,NA,NA,NA
1998,"fasy",25.6835,17.7566,NA,NA,NA
1998,"fasy",25.4269,17.6281,NA,NA,NA
1998,"fasy",25.4269,17.6281,NA,NA,NA
1998,"fasy",33.9261,21.578,NA,NA,NA
1998,"fasy",32.6331,21.0161,NA,NA,NA
1998,"fasy",29.8862,19.7771,NA,NA,NA
1998,"fasy",29.4502,19.5747,NA,NA,NA
1998,"fasy",46.2233,26.3061,NA,NA,NA
1998,"fasy",36.5303,22.6702,NA,NA,NA
1998,"fasy",45.6066,26.0936,NA,NA,NA
1998,"fasy",41.3314,24.5518,NA,NA,NA
1998,"fasy",40.0023,24.0474,NA,NA,NA
1998,"fasy",32.3987,20.9128,NA,NA,NA
1998,"fasy",30.996,20.2852,NA,NA,NA
1998,"fasy",28.9127,19.3229,NA,NA,NA
1998,"fasy",28.4147,19.0873,NA,NA,NA
1998,"fasy",25.237,17.5326,NA,NA,NA
1998,"fasy",24.5919,17.2058,NA,NA,NA
1998,"fasy",22.9345,16.3482,NA,NA,NA
1998,"fasy",22.6954,16.2223,NA,NA,NA
1998,"fasy",19.5347,14.5052,NA,NA,NA
1998,"fasy",18.9648,14.1849,NA,NA,NA
1998,"fasy",18.737,14.0559,NA,NA,NA
1998,"fasy",16.9698,13.0368,NA,NA,NA
1998,"fasy",15.8694,12.3853,NA,NA,NA
1998,"fasy",14.6557,11.6513,NA,NA,NA
1998,"fasy",13.012,10.6309,NA,NA,NA
1998,"fasy",12.463,10.2832,NA,NA,NA
1998,"fasy",12.3517,10.2123,NA,NA,NA
1998,"fasy",10.4905,9.0046,NA,NA,NA
1998,"fasy",7.9626,7.2969,NA,NA,NA
1998,"fasy",15.8075,12.3483,NA,NA,NA
1998,"fasy",14.9344,11.8213,NA,NA,NA
1998,"fasy",14.7162,11.6883,NA,NA,NA
1998,"fasy",15.8099,12.3497,NA,NA,NA
1998,"fasy",15.1526,11.9538,NA,NA,NA
1998,"fasy",12.9716,10.6055,NA,NA,NA
1998,"fasy",12.8626,10.5367,NA,NA,NA
1998,"fasy",11.4451,9.6292,NA,NA,NA
1998,"fasy",8.8228,7.8869,NA,NA,NA
1998,"fasy",38.4402,23.4386,NA,NA,NA
1998,"fasy",29.4169,19.5591,NA,NA,NA
1998,"fasy",28.8239,19.281,NA,NA,NA
1998,"fasy",27.1794,18.4937,NA,NA,NA
1998,"fasy",18.1308,13.71,NA,NA,NA
1998,"fasy",16.484,12.7508,NA,NA,NA
1998,"fasy",16.1475,12.5512,NA,NA,NA
1998,"fasy",14.8271,11.756,NA,NA,NA
1998,"fasy",14.28,11.4208,NA,NA,NA
1998,"fasy",12.6446,10.3986,NA,NA,NA
1998,"fasy",12.3175,10.1905,NA,NA,NA
1998,"fasy",11.4451,9.6292,NA,NA,NA
1998,"fasy",28.9898,19.3591,NA,NA,NA
1998,"fasy",28.3758,19.0688,NA,NA,NA
1998,"fasy",27.8025,18.7948,NA,NA,NA
1998,"fasy",26.8892,18.3523,NA,NA,NA
1998,"fasy",41.695,24.6877,NA,NA,NA
1998,"fasy",37.8419,23.2008,NA,NA,NA
1998,"fasy",35.5805,22.2778,NA,NA,NA
1998,"fasy",32.0425,20.7549,NA,NA,NA
1998,"fasy",31.0619,20.315,NA,NA,NA
1998,"fasy",28.5693,19.1607,NA,NA,NA
1998,"fasy",27.2051,18.5062,NA,NA,NA
1998,"fasy",26.0966,17.9622,NA,NA,NA
1998,"fasy",25.5979,17.7138,NA,NA,NA
1998,"fasy",24.6044,17.2121,NA,NA,NA
