"year","species","D_cm","H_m","V_m3","X_utm","Y_utm"
1967,"fasy",52.0312,28.1946,NA,NA,NA
1967,"fasy",49.4821,27.3905,NA,NA,NA
1967,"fasy",45.3999,26.0218,NA,NA,NA
1967,"fasy",45.2978,25.9862,NA,NA,NA
1967,"fasy",42.847,25.1123,NA,NA,NA
1967,"fasy",41.1105,24.4689,NA,NA,NA
1967,"fasy",40.2921,24.1584,NA,NA,NA
1967,"fasy",39.9856,24.041,NA,NA,NA
1967,"fasy",39.8834,24.0017,NA,NA,NA
1967,"fasy",39.6314,23.9044,NA,NA,NA
1967,"fasy",38.4211,23.431,NA,NA,NA
1967,"fasy",37.5262,23.0742,NA,NA,NA
1967,"fasy",36.032,22.4652,NA,NA,NA
1967,"fasy",33.2345,21.2791,NA,NA,NA
1967,"fasy",32.9826,21.1693,NA,NA,NA
1967,"fasy",32.6334,21.0162,NA,NA,NA
1967,"fasy",29.0612,19.3927,NA,NA,NA
1967,"fasy",20.0625,14.7989,NA,NA,NA
1967,"fasy",52.337,28.2886,NA,NA,NA
1967,"fasy",47.5434,26.7532,NA,NA,NA
1967,"fasy",47.4414,26.7191,NA,NA,NA
1967,"fasy",45.6041,26.0927,NA,NA,NA
1967,"fasy",43.1534,25.2237,NA,NA,NA
1967,"fasy",38.8616,23.6046,NA,NA,NA
1967,"fasy",38.3506,23.4031,NA,NA,NA
1967,"fasy",36.1015,22.4939,NA,NA,NA
1967,"fasy",31.1928,20.3742,NA,NA,NA
1967,"fasy",30.9882,20.2817,NA,NA,NA
1967,"fasy",28.6094,19.1796,NA,NA,NA
1967,"fasy",27.9593,18.87,NA,NA,NA
1967,"fasy",23.4413,16.6132,NA,NA,NA
1967,"fasy",22.503,16.1205,NA,NA,NA
1967,"fasy",21.7716,15.7307,NA,NA,NA
1967,"fasy",51.3176,27.9733,NA,NA,NA
1967,"fasy",48.2575,26.9906,NA,NA,NA
1967,"fasy",47.2373,26.6505,NA,NA,NA
1967,"fasy",45.9103,26.1986,NA,NA,NA
1967,"fasy",43.1534,25.2237,NA,NA,NA
1967,"fasy",41.2126,24.5073,NA,NA,NA
1967,"fasy",39.8834,24.0017,NA,NA,NA
1967,"fasy",39.1682,23.7245,NA,NA,NA
1967,"fasy",39.066,23.6846,NA,NA,NA
1967,"fasy",38.8205,23.5884,NA,NA,NA
1967,"fasy",36.393,22.6138,NA,NA,NA
1967,"fasy",35.5083,22.2478,NA,NA,NA
1967,"fasy",33.7184,21.4886,NA,NA,NA
1967,"fasy",33.4608,21.3773,NA,NA,NA
1967,"fasy",32.094,20.7778,NA,NA,NA
1967,"fasy",31.2416,20.3963,NA,NA,NA
1967,"fasy",28.9822,19.3555,NA,NA,NA
1967,"fasy",49.5841,27.4234,NA,NA,NA
1967,"fasy",49.074,27.2582,NA,NA,NA
1967,"fasy",45.9103,26.1986,NA,NA,NA
1967,"fasy",44.4809,25.6993,NA,NA,NA
