"year","species","D_cm","H_m","V_m3","X_utm","Y_utm"
1969,"piab",24.796,22.521,0.4,6.83,24.4
1968,"piab",34.573,25.326,1,36.72,90.42
1967,"piab",35.2,25.46,1,48.1,82.44
1968,"piab",34.84,25.39,1,71.88,23.22
1967,"piab",34.9,25.38,1,49.33,15.37
1967,"piab",29.3,23.76,0.7,21.14,97.32
1968,"piab",39.928,26.663,1.4,98.13,53.88
1969,"piab",31.657,24.563,0.7,12.11,59.84
1967,"piab",22.8,21.45,0.4,76.28,96.18
1967,"piab",35.1,25.43,1,38.7,6.12
1968,"piab",33.616,25.054,1,3.19,56.43
1968,"piab",27.981,23.475,0.7,71.93,13.11
1967,"piab",23.6,21.77,0.4,98.67,1.35
1969,"piab",30.286,24.274,0.7,36.17,17.72
1968,"piab",25.83,22.654,0.4,38.54,86.45
1967,"piab",27.4,23.15,0.4,72.76,33.39
1967,"piab",20.9,20.65,0.2,76.24,52.98
1967,"piab",26.9,22.98,0.4,70.27,60.66
1969,"piab",28.661,23.679,0.7,13.03,58.03
1968,"piab",28.413,23.515,0.7,34.08,42.85
1969,"piab",23.638,22.622,0.4,44.83,62.29
1967,"piab",33,24.86,1,34.64,90.78
1967,"piab",17,18.74,0.13,24.53,65.65
1967,"piab",26.1,22.7,0.4,52.93,54.78
1967,"piab",21.6,20.95,0.2,25.69,93.5
1968,"piab",39.757,26.599,1.4,16.63,98.5
1968,"piab",35.178,25.562,1,65.43,3.21
1968,"piab",27.144,23.159,0.4,53.52,48.49
1968,"piab",26.959,23.307,0.4,83.45,56.74
1969,"piab",23.935,22.296,0.4,13.62,60.17
1968,"piab",41.811,27.064,1.4,63.45,61.73
1968,"piab",26.6,22.952,0.4,76.77,46.73
1967,"piab",32.5,24.72,1,76.87,65.62
1968,"piab",23.852,22.163,0.4,50.27,30.59
1967,"piab",34.9,25.38,1,18.03,54.37
1969,"piab",35.414,25.596,1,44.56,33.78
1967,"piab",32,24.58,0.7,74.31,3.76
1967,"piab",27.3,23.11,0.4,7.76,31.86
1968,"piab",26.597,23.212,0.4,53.09,43.92
1968,"piab",24.712,22.35,0.4,90.3,35.09
1969,"piab",35.831,25.731,1,67.33,65.32
1967,"piab",28.3,23.44,0.7,70.23,48.89
1967,"piab",22.2,21.2,0.2,32.54,60.95
1969,"piab",29.676,23.993,0.7,21.14,97.32
1967,"piab",35.9,25.64,1,63.62,42.37
1968,"piab",28.821,23.757,0.7,79.31,54.3
1967,"piab",26.1,22.7,0.4,60.25,16.1
1969,"piab",32.042,24.67,0.7,70.43,24.94
1969,"piab",20.926,21.388,0.2,50.82,50.51
1968,"piab",25.359,22.501,0.4,34.37,16.31
1967,"piab",24.1,21.96,0.4,23.3,5.69
1967,"piab",15.8,18.06,0.13,30.49,40.37
1967,"piab",28.4,23.48,0.7,88.44,83.94
1968,"piab",42.292,27.16,1.4,69.97,12.27
1969,"piab",24.614,22.579,0.4,82.1,91.94
1969,"piab",27.75,23.594,0.7,12.97,76.66
1968,"piab",27.907,23.424,0.7,83.81,20.49
1967,"piab",36.1,25.69,1,17.67,70.59
1967,"piab",25.4,22.45,0.4,26.47,31.12
1969,"piab",35.856,25.685,1,49.06,28.85
1969,"piab",27.67,23.829,0.7,83.45,56.74
1967,"piab",22.1,21.16,0.2,20.07,41.51
1969,"piab",36.094,25.872,1,49.33,15.37
1968,"piab",29.737,23.975,0.7,86.02,79.48
1967,"piab",27.6,23.21,0.7,32.8,3.9
1967,"piab",29.2,23.73,0.7,34.32,30.58
1968,"piab",18.328,19.623,0.2,87.16,48.9
1969,"piab",31.831,24.824,0.7,75.34,44.07
1968,"piab",35.207,25.523,1,1.2,8.43
1969,"piab",20.85,21.076,0.2,82.81,73.68
1967,"piab",34,25.14,1,30.22,92.93
1967,"piab",32.4,24.69,0.7,64.81,76.27
1967,"piab",30,23.98,0.7,18.72,0.29
1967,"piab",35.1,25.43,1,75.58,97.43
1968,"piab",37.479,26.054,1,92.67,15.64
1969,"piab",29.92,24.176,0.7,24.27,51.2
1969,"piab",41.47,27.023,1.4,20.9,69.14
1967,"piab",25.7,22.55,0.4,99.22,92.27
1969,"piab",35.086,25.523,1,78.38,0.99
1969,"piab",34.828,25.412,1,55.39,70.9
1968,"piab",34.395,25.277,1,93.39,28.47
1967,"piab",36.2,25.72,1,16.41,96.46
1968,"piab",29.109,23.834,0.7,21.36,45.86
1967,"piab",37.4,26.02,1,72.71,41.72
1967,"piab",26.9,22.98,0.4,12.97,76.66
1967,"piab",28.5,23.51,0.7,70.49,67.84
1967,"piab",33.7,25.06,1,36.3,95.87
1967,"piab",40.6,26.78,1.4,31.53,66.82
1967,"piab",38.8,26.36,1.4,27.92,74.08
1967,"piab",31.4,24.4,0.7,90.24,48.12
1969,"piab",30.715,24.263,0.7,80.79,49.07
1968,"piab",27.95,23.495,0.7,19.31,56.03
1967,"piab",29.8,23.92,0.7,96.25,49.5
1969,"piab",35.149,25.645,1,80.17,15.3
1968,"piab",36.797,25.894,1,29.29,13.7
1968,"piab",37.802,26.147,1.4,74.18,19.07
1968,"piab",35.159,25.477,1,79.33,4.64
1967,"piab",31.5,24.43,0.7,57.01,73.38
1969,"piab",26.252,22.986,0.4,19.36,79.82
1969,"piab",32.879,24.889,1,20.02,84.51
1969,"piab",42.459,27.202,1.4,69.97,12.27
1968,"piab",20.429,20.81,0.2,50.82,50.51
1969,"piab",26.597,23.121,0.4,47.8,68.69
1969,"piab",29.547,24.147,0.7,91.31,29.74
1969,"piab",34.099,25.397,1,97.97,92.44
1967,"piab",27.7,23.25,0.7,5.18,56.93
1968,"piab",24.589,22.61,0.4,94.64,65.7
1969,"piab",38.727,26.387,1.4,69.76,20.23
1967,"piab",25,22.3,0.4,79.35,41.16
1969,"piab",33.14,25.036,1,34.11,44.75
1969,"piab",26.147,23.286,0.4,66.35,34.19
1968,"piab",39.586,26.586,1.4,53.85,87.71
1967,"piab",26.7,22.91,0.4,93.84,44.49
1968,"piab",21.086,21.13,0.2,46.97,40.65
1967,"piab",30.6,24.17,0.7,24.31,79.87
1969,"piab",46.294,27.988,1.8,25.29,65.07
1967,"piab",30.8,24.23,0.7,22.71,29.47
1967,"piab",35.1,25.43,1,67.33,65.32
1967,"piab",28.8,23.61,0.7,15.08,49.38
1967,"piab",34.6,25.3,1,32.73,32.22
1967,"piab",31.4,24.4,0.7,98.46,48.49
1967,"piab",30.4,24.1,0.7,12.97,38.42
1969,"piab",21.228,20.94,0.2,78.68,37.68
1968,"piab",33.299,24.986,1,79.51,49.46
1967,"piab",23.6,21.77,0.4,55.82,73.18
1969,"piab",32.305,24.879,0.7,57.38,54.26
1967,"piab",21.2,20.78,0.2,71.37,12.8
1967,"piab",34.2,25.19,1,54.66,37.58
1968,"piab",32.49,24.788,0.7,66.43,57.12
1969,"piab",36.908,26.04,1,87.66,18.48
1968,"piab",28.028,23.437,0.7,5.95,39.3
1967,"piab",34.6,25.3,1,11.64,26.3
1967,"piab",27.8,23.28,0.7,76.3,78.2
1967,"piab",34,25.14,1,42.76,7.91
1969,"piab",28.188,23.618,0.7,83.81,20.49
1969,"piab",33.583,25.228,1,89.64,73.24
1969,"piab",35.968,25.912,1,28.31,81.83
1967,"piab",33.5,25,1,97.8,66.5
1968,"piab",26.975,23.149,0.4,49.05,74.36
1967,"piab",27.3,23.11,0.4,57.22,25.53
1968,"piab",33.951,25.227,1,95.06,4.63
1968,"piab",32.909,24.923,1,90.37,14.35
1968,"piab",27.507,23.421,0.7,70.27,60.66
1968,"piab",35.155,25.525,1,26.1,97.02
1968,"piab",39.195,26.488,1.4,27.92,74.08
1968,"piab",34.605,25.41,1,80.17,15.3
1967,"piab",35,25.41,1,67.43,29.38
1969,"piab",35.586,25.62,1,93.96,91.98
1968,"piab",34.576,25.473,1,38.06,72.21
1968,"piab",41.232,26.935,1.4,42.95,57.51
1967,"piab",24.9,22.26,0.4,99.78,44.94
1967,"piab",34.3,25.22,1,73.95,40.11
1968,"piab",35.183,25.487,1,97.87,95.17
1967,"piab",30.4,24.1,0.7,58.57,45.71
1969,"piab",33.35,25.01,1,79.08,74.23
1967,"piab",34.5,25.27,1,65.43,3.21
1967,"piab",32.7,24.78,1,32.93,30.61
1968,"piab",30.508,24.191,0.7,50.94,72.34
1968,"piab",28.648,23.644,0.7,88.44,83.94
1967,"piab",37.8,26.12,1.4,81.71,70.73
1967,"piab",29.2,23.73,0.7,8.28,59.52
1967,"piab",40.3,26.71,1.4,50,40.09
1969,"piab",36.307,25.801,1,56.5,57.24
1967,"piab",21.5,20.91,0.2,22.85,35.32
1967,"piab",31.9,24.55,0.7,98.29,31.55
1968,"piab",34.659,25.364,1,42.58,27.34
1967,"piab",25,22.3,0.4,40.65,25.09
1968,"piab",33.908,25.189,1,97.8,66.5
1968,"piab",27.466,23.228,0.4,57.22,25.53
1968,"piab",33.504,25.121,1,97.97,92.44
1967,"piab",34,25.14,1,80.17,15.3
1969,"piab",43.914,27.521,1.8,57.72,37.16
1968,"piab",22.481,21.421,0.2,3.85,95.36
1969,"piab",18.81,19.84,0.2,84.17,57.35
1968,"piab",25.451,22.492,0.4,26.47,31.12
1969,"piab",38.538,26.324,1.4,77.91,82.17
1967,"piab",22.2,21.2,0.2,44.83,62.29
1967,"piab",34.5,25.27,1,23.18,17.21
1967,"piab",32.3,24.66,0.7,55.83,24.18
1968,"piab",33.836,25.139,1,30.9,42.77
1969,"piab",40.898,26.883,1.4,16.62,55.83
1967,"piab",26.9,22.98,0.4,74.62,79.95
1968,"piab",41.007,26.895,1.4,20.9,69.14
1969,"piab",36.496,25.835,1,8.55,55.88
1967,"piab",39.9,26.62,1.4,2.73,70.72
1974,"piab",30.68,25.529,0.7,7,95.03
1969,"piab",27.573,23.38,0.7,35.52,68.83
1968,"piab",23.7,22.079,0.4,83.71,77.3
1967,"piab",20.5,20.47,0.2,46.97,40.65
1969,"piab",37.752,26.192,1.4,59.81,8.58
1974,"piab",25.731,24.294,0.4,60.94,80.42
1974,"piab",39.852,27.46,1.4,38.06,72.21
1967,"piab",34.1,25.17,1,69.81,69.68
1967,"piab",29.9,23.95,0.7,46.01,11.72
1967,"piab",35.5,25.54,1,93.91,17.74
1969,"piab",34.51,25.353,1,69.81,69.68
1974,"piab",32.579,25.861,1,55.71,9.69
1969,"piab",30.947,24.367,0.7,37.69,58.91
1969,"piab",19.391,20.667,0.2,58.43,68.89
1967,"piab",26.2,22.73,0.4,30.16,38.92
1968,"piab",19.09,19.883,0.2,33.73,94.08
1974,"piab",32.879,24.982,1,72.94,64.76
1967,"piab",24.1,21.96,0.4,56.02,92.87
1969,"piab",30.658,24.336,0.7,93.98,15.69
1974,"piab",33.719,26.024,1,6.44,35.42
1974,"piab",31.029,25.741,0.7,17.23,78.25
1968,"piab",36.991,25.949,1,54.12,16.91
1967,"piab",25.1,22.34,0.4,46.9,61.78
1967,"piab",33.7,25.06,1,48.38,42.37
1969,"piab",27.023,23.354,0.4,30.16,38.92
1967,"piab",21.6,20.95,0.2,75.35,64.47
1969,"piab",27.079,23.396,0.4,85.99,34.6
1974,"piab",34.117,25.643,1,75.62,72.07
1968,"piab",37.589,26.094,1.4,48.13,96.18
1969,"piab",31.52,24.576,0.7,70.15,57.57
1967,"piab",32.2,24.64,0.7,74.63,88.68
1974,"piab",36.78,26.649,1,62.85,84.16
1969,"piab",23.341,22.031,0.4,75.08,76.96
1969,"piab",27.616,23.335,0.7,57.22,25.53
1968,"piab",34.721,25.353,1,27,96.51
1974,"piab",26.177,24.476,0.4,41.38,13.02
1968,"piab",27.348,23.307,0.4,12.97,76.66
1974,"piab",40.05,26.804,1.4,69.76,20.23
1968,"piab",24.575,22.379,0.4,23.3,5.69
1969,"piab",28.512,23.582,0.7,34.08,42.85
1969,"piab",28.395,23.8,0.7,19.31,56.03
1968,"piab",29.141,23.927,0.7,70.49,67.84
1967,"piab",27.5,23.18,0.7,19.31,56.03
1969,"piab",35.469,25.857,1,38.06,72.21
1974,"piab",29.15,24.64,0.7,93.84,44.49
1968,"piab",37.564,26.085,1.4,0.84,95.38
1974,"piab",18.562,21.978,0.2,22.34,86.99
1974,"piab",26.164,23.063,0.4,94.91,81.15
1969,"piab",28.052,23.807,0.7,7,95.03
1967,"piab",41.4,26.96,1.4,19.89,28.48
1968,"piab",40.931,26.875,1.4,31.53,66.82
1969,"piab",32.119,24.807,0.7,4.42,58.56
1969,"piab",27.274,23.253,0.4,73.01,95.32
1969,"piab",25.95,22.749,0.4,38.54,86.45
1968,"piab",38.354,26.316,1.4,63.4,97.54
1969,"piab",28.605,23.985,0.7,15.72,81.63
1969,"piab",31.989,24.827,0.7,46.51,10.67
1968,"piab",26.023,22.806,0.4,99.22,92.27
1969,"piab",31.791,24.66,0.7,93.66,73.18
1974,"piab",37.464,26.205,1,17.67,70.59
1968,"piab",40.578,26.791,1.4,16.62,55.83
1969,"piab",24.955,22.559,0.4,28.55,99.77
1968,"piab",29.435,23.945,0.7,51.6,99.57
1968,"piab",31.808,24.595,0.7,83.13,78.72
1969,"piab",32.121,24.87,0.7,10.16,41.79
1969,"piab",35.535,25.791,1,99.61,10.98
1968,"piab",37.412,26.103,1,77.65,29.77
1974,"piab",31.632,25.17,0.7,24.27,51.2
1974,"piab",22.788,22.462,0.4,71.37,12.8
1968,"piab",28.055,23.609,0.7,72.76,33.39
1974,"piab",36.986,26.608,1,97.97,92.44
1968,"piab",35.597,25.672,1,18.03,54.37
1967,"piab",38.7,26.33,1.4,61.83,18.51
1969,"piab",34.418,25.328,1,42.76,7.91
1974,"piab",29.372,24.329,0.7,18.7,87.6
1969,"piab",35.304,25.538,1,79.33,4.64
1967,"piab",26.4,22.8,0.4,76.77,46.73
1968,"piab",32.838,24.889,1,34.11,44.75
1968,"piab",29.451,23.887,0.7,34.32,30.58
1974,"piab",36.597,26.233,1,72.16,4.73
1967,"piab",25.1,22.34,0.4,88.93,88.61
1967,"piab",34.4,25.25,1,90.51,40.32
1968,"piab",35.403,25.544,1,93.96,91.98
1968,"piab",32.291,24.872,0.7,36.19,13.39
1968,"piab",29.911,24.049,0.7,2.48,1.45
1974,"piab",23.354,22.48,0.4,52.71,67.49
1968,"piab",26.308,22.899,0.4,47.8,68.69
1967,"piab",29.5,23.83,0.7,33.1,75.92
1968,"piab",40.981,26.888,1.4,5.74,7.46
1967,"piab",39.5,26.52,1.4,16.63,98.5
1967,"piab",20.2,20.33,0.2,82.81,73.68
1974,"piab",39.994,27.019,1.4,29.38,56.77
1974,"piab",36.437,26.491,1,83.35,8.4
1967,"piab",30.4,24.1,0.7,86.87,81.33
1967,"piab",37.8,26.12,1.4,18.99,4.43
1967,"piab",32.5,24.72,1,12.73,3.57
1968,"piab",31.431,24.682,0.7,96.1,43.1
1967,"piab",25.1,22.34,0.4,1.69,68.42
1968,"piab",29.761,23.99,0.7,32.81,70.41
1974,"piab",25.175,23.415,0.4,78.81,37.45
1967,"piab",29,23.67,0.7,55.43,18.69
1968,"piab",27.02,23.148,0.4,76.81,5.15
1974,"piab",30.917,24.707,0.7,46.49,23.4
1974,"piab",39.558,26.874,1.4,36.78,57.4
1974,"piab",23.441,22.913,0.4,54.45,52.7
1974,"piab",39.187,26.869,1.4,66.08,45.4
1967,"piab",26.4,22.8,0.4,75.27,58.6
1974,"piab",36.92,26.455,1,82.83,38
1974,"piab",39.544,27.106,1.4,18.03,54.37
1974,"piab",31.782,25.026,0.7,49.01,72.18
1974,"piab",36.041,26.288,1,22.05,80.78
1968,"piab",36.213,25.764,1,26.93,36.22
1974,"piab",28.185,23.899,0.7,73.01,95.32
1968,"piab",37.646,26.114,1.4,52.44,86.11
1968,"piab",28.202,23.627,0.7,32.8,3.9
1968,"piab",26.482,22.947,0.4,70.48,27.95
1974,"piab",28.221,23.8,0.7,73.1,89.73
1969,"piab",46.69,28.069,1.8,67.54,86.99
1974,"piab",31.65,24.755,0.7,24.31,79.87
1974,"piab",35.347,25.788,1,12.79,6.94
1969,"piab",37.34,26.045,1,39.45,24.23
1967,"piab",27.1,23.04,0.4,21.34,96.05
1969,"piab",24.725,22.41,0.4,77.07,51.66
1967,"piab",30.9,24.26,0.7,14.9,24.23
1967,"piab",21.5,20.91,0.2,86.92,63.25
1967,"piab",40.8,26.82,1.4,93.4,36.19
1967,"piab",35,25.41,1,66.15,72.27
1974,"piab",34.292,25.446,1,64.22,25.23
1968,"piab",26.996,23.13,0.4,6.05,25.07
1967,"piab",40.2,26.68,1.4,16.62,55.83
1968,"piab",29.524,23.877,0.7,62.59,71.08
1969,"piab",36.439,26.114,1,73.95,40.11
1967,"piab",23.7,21.81,0.4,85.48,64.74
1974,"piab",36.003,25.823,1,79.33,4.64
1967,"piab",21.5,20.91,0.2,0.26,24.1
1967,"piab",31.8,24.52,0.7,6.77,58.82
1967,"piab",38.5,26.29,1.4,54.79,94.62
1974,"piab",28.545,24.269,0.7,11.7,77.06
1974,"piab",32.92,25.117,1,70.43,24.94
1969,"piab",35.368,25.542,1,75.58,97.43
1974,"piab",34.057,25.664,1,60.54,51.29
1969,"piab",20.66,20.651,0.2,76.05,69.7
1969,"piab",31.05,24.371,0.7,75.14,71.6
1967,"piab",36.5,25.79,1,44.13,22.45
1974,"piab",35.482,26.099,1,7.89,84.16
1968,"piab",30.923,24.4,0.7,12.97,38.42
1974,"piab",24.502,22.365,0.4,62.59,44.68
1974,"piab",25.29,23.835,0.4,88.48,71.36
1969,"piab",21.521,21.536,0.2,5.93,8.08
1967,"piab",31.7,24.49,0.7,70.43,24.94
1967,"piab",25.8,22.59,0.4,53.09,43.92
1974,"piab",36.993,26.125,1,93.91,17.74
1969,"piab",30.649,24.244,0.7,10.17,52.87
1974,"piab",35.289,26.62,1,13.76,71.16
1974,"piab",39.3,26.572,1.4,77.91,82.17
1968,"piab",24.785,22.413,0.4,90.85,54.33
1974,"piab",37.885,26.385,1.4,26.93,36.22
1969,"piab",37.794,26.166,1.4,0.84,95.38
1974,"piab",26.412,23.768,0.4,90.3,35.09
1974,"piab",29.476,24.205,0.7,13.03,58.03
1969,"piab",32.395,24.806,0.7,94.17,92.02
1969,"piab",31.83,24.631,0.7,90.24,48.12
1968,"piab",28.097,23.555,0.7,33.13,38.86
1967,"piab",31.1,24.32,0.7,52.5,58.39
