"year","species","D_cm","H_m","V_m3","X_utm","Y_utm"
2000,"acpl",17.106,24.138,0.13,52.53,42.63
1998,"acpl",16.53,23.228,0.13,82.79,7.87
2002,"acpl",17.762,25.15,0.2,52.53,42.63
2006,"acpl",18.953,26.923,0.2,52.53,42.63
2002,"acpl",18.017,25.537,0.2,82.79,7.87
2000,"acpl",17.263,24.381,0.13,82.79,7.87
1998,"acpl",16.459,23.115,0.13,52.53,42.63
1997,"acpl",16.2,22.7,0.13,82.79,7.87
2004,"acpl",18.732,26.601,0.2,82.79,7.87
2004,"acpl",18.396,26.104,0.2,52.53,42.63
1997,"acpl",16.2,22.7,0.13,52.53,42.63
2006,"acpl",19.36,27.507,0.2,82.79,7.87
1997,"fasy",22.5,23.9,0.4,0.67,60.76
1997,"fasy",8.9,19.6,0.051,9.27,78.4
2008,"fasy",40.852,25.86,1.4,21.84,99.66
2008,"fasy",28.295,28.114,0.7,78.79,76.98
1997,"fasy",17.2,22.9,0.13,18.47,28.52
1997,"fasy",28.3,24.5,0.7,35.82,99.67
1997,"fasy",13.1,21.7,0.13,98.83,27.53
1997,"fasy",25.6,24.3,0.4,84.83,39.04
1997,"fasy",24.7,24.1,0.4,2.42,38.74
2008,"fasy",31.494,67.654,0.7,11.2,90.47
1997,"fasy",12.6,21.5,0.13,65.23,33.68
1997,"fasy",26.1,24.3,0.4,53.61,6.12
1997,"fasy",17.2,22.9,0.13,55.93,6.2
1997,"fasy",22.9,23.9,0.4,48.61,28.85
2006,"fasy",31.756,27.226,0.7,9.09,34.42
1998,"fasy",35.68,25.162,1,57.04,81.52
1997,"fasy",11.5,21.1,0.051,81.95,95.34
1997,"fasy",11.8,21.2,0.051,11.8,44.81
1997,"fasy",26.3,24.3,0.4,52.98,8.4
1997,"fasy",32.9,24.9,1,94.92,85.87
1997,"fasy",22.5,23.9,0.4,75.61,82.18
1997,"fasy",21.4,23.7,0.2,56.17,71.04
1997,"fasy",23.7,24,0.4,89.55,7.27
1997,"fasy",20.8,23.6,0.2,11.02,45.36
1997,"fasy",13.1,21.7,0.13,4.42,28.22
1997,"fasy",35.4,25.1,1,57.04,81.52
1997,"fasy",11.2,20.9,0.051,11.2,90.47
1998,"fasy",12.286,22.039,0.051,81.97,26.27
1997,"fasy",26.8,24.4,0.4,19.97,79.33
