"year","species","D_cm","H_m","V_m3","X_utm","Y_utm"
1967,"fasy",55.2,27.75,2.8,31.4,52.11
1967,"fasy",39.8,25.63,1.4,89.88,18.71
1967,"fasy",18,18.65,0.2,34.66,59.14
1967,"fasy",40.7,25.79,1.4,4.6,13.86
1967,"fasy",29.7,23.34,0.7,51.63,44.86
1967,"fasy",32.5,24.08,1,73.6,92.37
1967,"fasy",32.2,24.01,0.7,14.45,45.1
1967,"fasy",41.3,25.89,1.4,89.87,85.59
1967,"fasy",42.3,26.06,1.4,58.51,17.88
1967,"fasy",42.3,26.06,1.4,16.29,24.34
1967,"fasy",34.2,24.49,1,55.76,99.04
1967,"fasy",40.5,25.75,1.4,99.83,31.83
1967,"fasy",26.1,22.21,0.4,38.78,8.06
1967,"fasy",31.3,23.77,0.7,29.12,56.34
1967,"fasy",34.5,24.55,1,61.5,57.67
1967,"fasy",37.4,25.17,1,70.62,76.05
1967,"fasy",33.9,24.42,1,22.07,0.09
1967,"fasy",37.5,25.19,1.4,8.74,71.86
1967,"fasy",36.1,24.9,1,12.36,21.44
1967,"fasy",31.7,23.88,0.7,25.32,6.83
1967,"fasy",19,19.19,0.2,66.58,1.96
1967,"fasy",45.3,26.52,1.8,52.34,5.66
1967,"fasy",54.8,27.7,2.8,96.73,56.31
1967,"fasy",41.9,25.99,1.4,30.28,40.55
1967,"fasy",31.4,23.8,0.7,49.47,19.12
1967,"fasy",33.6,24.35,1,12.74,85.3
1967,"fasy",30.8,23.64,0.7,59.88,59.06
1967,"fasy",39.6,25.59,1.4,88.35,8.68
1967,"fasy",35,24.67,1,21.27,55
1967,"fasy",23.2,21.13,0.4,42.58,86.21
1967,"fasy",43.8,26.29,1.8,69.04,13.39
1967,"fasy",48,26.9,2.3,85.35,77.75
1967,"fasy",26.2,22.25,0.4,51.42,55.19
1967,"fasy",37.5,25.19,1.4,71.11,58.9
1967,"fasy",47.2,26.79,1.8,75.67,52.72
1967,"fasy",32.8,24.16,1,93.24,30.96
1967,"fasy",27.9,22.8,0.7,49.63,25.65
1967,"fasy",32.3,24.03,0.7,58.71,94.89
1967,"fasy",43.3,26.22,1.8,3.11,69.4
1967,"fasy",22.5,20.84,0.4,75.85,97.75
1967,"fasy",30.7,23.62,0.7,14.67,60.56
1967,"fasy",34.8,24.62,1,59.44,51.36
1967,"fasy",51.2,27.3,2.3,20.11,60.85
1967,"fasy",29.7,23.34,0.7,71.47,91.22
1967,"fasy",44.9,26.46,1.8,78.39,91.74
