"year","species","D_cm","H_m","V_m3","X_utm","Y_utm"
1967,"piab",27.5,23.18,0.7,19.31,56.03
1967,"piab",30.9,24.26,0.7,14.9,24.23
1967,"piab",28.3,23.44,0.7,15.42,24.64
1967,"piab",31.1,24.32,0.7,10.16,41.79
1967,"piab",20.8,20.6,0.2,98.21,96.96
1967,"piab",36.4,25.77,1,24.14,18.87
1967,"piab",25.6,22.52,0.4,9.99,46.84
1967,"piab",32.5,24.72,1,90.37,14.35
1967,"piab",24.7,22.19,0.4,58.82,14.08
1967,"piab",31.3,24.37,0.7,50.14,78.55
1967,"piab",31.1,24.32,0.7,53.76,39.47
1967,"piab",26.2,22.73,0.4,42.82,43.26
1967,"piab",26,22.66,0.4,47.8,68.69
1967,"piab",30.9,24.26,0.7,80.95,91.59
1967,"piab",31,24.29,0.7,44.96,21.16
1967,"piab",28.4,23.48,0.7,79.58,83.72
1967,"piab",34.5,25.27,1,5.29,9.68
1967,"piab",30.3,24.07,0.7,50.94,72.34
1967,"piab",31.3,24.37,0.7,4.42,58.56
1967,"piab",45.1,27.75,1.8,67.54,86.99
1967,"piab",31.4,24.4,0.7,98.46,48.49
1967,"piab",26.9,22.98,0.4,17.23,78.25
1967,"piab",27.3,23.11,0.4,94.1,17.09
1967,"piab",36.8,25.87,1,76.48,34.81
1967,"piab",42.5,27.2,1.8,98,26.07
1967,"piab",20.4,20.42,0.2,18.71,73.36
1967,"piab",28.7,23.57,0.7,8.04,47.98
1967,"piab",36.7,25.84,1,31.58,36.64
1967,"piab",16.6,18.52,0.13,91.3,41.08
1967,"piab",41,26.87,1.4,42.95,57.51
1967,"piab",22,21.12,0.2,77.85,13.23
1967,"piab",24.4,22.08,0.4,76.16,25.93
1967,"piab",25.1,22.34,0.4,1.69,68.42
1967,"piab",37.9,26.14,1.4,23.95,92.19
1967,"piab",35.5,25.54,1,93.91,17.74
1967,"piab",26.8,22.94,0.4,51.84,31.18
1967,"piab",31.2,24.34,0.7,93.66,73.18
1967,"piab",23.6,21.77,0.4,27.73,41.3
1967,"piab",32.4,24.69,0.7,64.81,76.27
1967,"piab",32.5,24.72,1,83.35,8.4
1967,"piab",37.3,25.99,1,50.75,98.05
1967,"piab",29.1,23.7,0.7,33.74,76.31
1967,"piab",25.2,22.37,0.4,34.37,16.31
1967,"piab",28.7,23.57,0.7,21.36,45.86
1967,"piab",32.7,24.78,1,67.62,30.35
1967,"piab",22.7,21.41,0.4,12.82,57.32
1967,"piab",15.8,18.06,0.13,30.49,40.37
1967,"piab",33,24.86,1,34.64,90.78
1967,"piab",36.7,25.84,1,77.65,29.77
1967,"piab",27.8,23.28,0.7,18.7,87.6
1967,"piab",21.6,20.95,0.2,25.69,93.5
1967,"piab",30.1,24.01,0.7,86.47,36.01
1967,"piab",22.9,21.49,0.4,13.85,87.34
