year,species,D,H
1998,piab,7.43,12.7
1998,piab,8.26333,13.8
1998,piab,8.26333,13.8
1998,piab,8.26333,13.8
1998,piab,9.558,15.4
1998,piab,9.558,15.4
1998,piab,9.558,15.4
1998,piab,9.558,15.4
1998,piab,9.558,15.4
1998,piab,10.44,16.3
1998,piab,10.44,16.3
1998,piab,10.44,16.3
1998,piab,10.44,16.3
1998,piab,11.16333,17
1998,piab,11.16333,17
1998,piab,11.16333,17
1998,piab,12.41,18.1
1998,piab,12.41,18.1
1998,piab,12.41,18.1
1998,piab,12.41,18.1
1998,piab,13.4075,18.9
1998,piab,13.4075,18.9
1998,piab,13.4075,18.9
1998,piab,13.4075,18.9
1998,piab,14.53,19.7
1998,piab,14.53,19.7
1998,piab,14.53,19.7
1998,piab,14.53,19.7
1998,piab,14.53,19.7
1998,piab,14.53,19.7
1998,piab,14.53,19.7
1998,piab,14.53,19.7
1998,piab,15.3325,20.2
1998,piab,15.3325,20.2
1998,piab,15.3325,20.2
1998,piab,15.3325,20.2
1998,piab,16.32,20.8
1998,piab,16.32,20.8
1998,piab,16.32,20.8
1998,piab,16.32,20.8
1998,piab,16.32,20.8
1998,piab,16.32,20.8
1998,piab,16.32,20.8
1998,piab,17.544,21.5
1998,piab,17.544,21.5
1998,piab,17.544,21.5
1998,piab,17.544,21.5
1998,piab,17.544,21.5
1998,piab,18.46286,22
1998,piab,18.46286,22
1998,piab,18.46286,22
1998,piab,18.46286,22
1998,piab,18.46286,22
1998,piab,18.46286,22
1998,piab,18.46286,22
1998,piab,19.732,22.6
1998,piab,19.732,22.6
1998,piab,19.732,22.6
1998,piab,19.732,22.6
1998,piab,19.732,22.6
1998,piab,20.63,22.9
1998,piab,20.63,22.9
1998,piab,20.63,22.9
1998,piab,20.63,22.9
1998,piab,20.63,22.9
1998,piab,20.63,22.9
1998,piab,20.63,22.9
1998,piab,21.49333,23.3
1998,piab,21.49333,23.3
1998,piab,21.49333,23.3
1998,piab,21.49333,23.3
1998,piab,21.49333,23.3
1998,piab,21.49333,23.3
1998,piab,21.49333,23.3
1998,piab,21.49333,23.3
1998,piab,21.49333,23.3
1998,piab,22.50167,23.7
1998,piab,22.50167,23.7
1998,piab,22.50167,23.7
1998,piab,22.50167,23.7
1998,piab,22.50167,23.7
1998,piab,22.50167,23.7
1998,piab,23.423,24
1998,piab,23.423,24
1998,piab,23.423,24
1998,piab,23.423,24
1998,piab,23.423,24
1998,piab,23.423,24
1998,piab,23.423,24
1998,piab,23.423,24
1998,piab,23.423,24
1998,piab,23.423,24
1998,piab,24.53571,24.4
1998,piab,24.53571,24.4
1998,piab,24.53571,24.4
1998,piab,24.53571,24.4
1998,piab,24.53571,24.4
1998,piab,24.53571,24.4
1998,piab,24.53571,24.4
1998,piab,25.4975,24.7
1998,piab,25.4975,24.7
1998,piab,25.4975,24.7
1998,piab,25.4975,24.7
1998,piab,25.4975,24.7
1998,piab,25.4975,24.7
1998,piab,25.4975,24.7
1998,piab,25.4975,24.7
1998,piab,25.4975,24.7
1998,piab,25.4975,24.7
1998,piab,25.4975,24.7
