year,species,D_cm,H_m,V_m3,X_utm,Y_utm
1967,piab,14.3,17.1,0.114,NA,NA
1967,piab,15.8,18.1,0.148,NA,NA
1967,piab,16.35,18.4,0.161,NA,NA
1967,piab,16.35,18.4,0.161,NA,NA
1967,piab,17,18.7,0.178,NA,NA
1967,piab,18.51,19.5,0.22,NA,NA
1967,piab,18.51,19.5,0.22,NA,NA
1967,piab,18.51,19.5,0.22,NA,NA
1967,piab,18.51,19.5,0.22,NA,NA
1967,piab,18.51,19.5,0.22,NA,NA
1967,piab,18.51,19.5,0.22,NA,NA
1967,piab,18.51,19.5,0.22,NA,NA
1967,piab,18.51,19.5,0.22,NA,NA
1967,piab,19.45,20,0.25,NA,NA
1967,piab,19.45,20,0.25,NA,NA
1967,piab,19.45,20,0.25,NA,NA
1967,piab,19.45,20,0.25,NA,NA
1967,piab,20.48,20.5,0.285,NA,NA
1967,piab,20.48,20.5,0.285,NA,NA
1967,piab,20.48,20.5,0.285,NA,NA
1967,piab,20.48,20.5,0.285,NA,NA
1967,piab,20.48,20.5,0.285,NA,NA
1967,piab,20.48,20.5,0.285,NA,NA
1967,piab,20.48,20.5,0.285,NA,NA
1967,piab,20.48,20.5,0.285,NA,NA
1967,piab,20.48,20.5,0.285,NA,NA
1967,piab,20.48,20.5,0.285,NA,NA
1967,piab,20.48,20.5,0.285,NA,NA
1967,piab,20.48,20.5,0.285,NA,NA
1967,piab,21.42,20.9,0.316,NA,NA
1967,piab,21.42,20.9,0.316,NA,NA
1967,piab,21.42,20.9,0.316,NA,NA
1967,piab,21.42,20.9,0.316,NA,NA
1967,piab,21.42,20.9,0.316,NA,NA
1967,piab,21.42,20.9,0.316,NA,NA
1967,piab,21.42,20.9,0.316,NA,NA
1967,piab,21.42,20.9,0.316,NA,NA
1967,piab,21.42,20.9,0.316,NA,NA
1967,piab,21.42,20.9,0.316,NA,NA
1967,piab,21.42,20.9,0.316,NA,NA
1967,piab,21.42,20.9,0.316,NA,NA
1967,piab,21.42,20.9,0.316,NA,NA
1967,piab,21.42,20.9,0.316,NA,NA
1967,piab,21.42,20.9,0.316,NA,NA
1967,piab,21.42,20.9,0.316,NA,NA
1967,piab,22.44,21.3,0.354,NA,NA
1967,piab,22.44,21.3,0.354,NA,NA
1967,piab,22.44,21.3,0.354,NA,NA
1967,piab,22.44,21.3,0.354,NA,NA
1967,piab,22.44,21.3,0.354,NA,NA
1967,piab,22.44,21.3,0.354,NA,NA
1967,piab,22.44,21.3,0.354,NA,NA
1967,piab,22.44,21.3,0.354,NA,NA
1967,piab,22.44,21.3,0.354,NA,NA
1967,piab,22.44,21.3,0.354,NA,NA
1967,piab,22.44,21.3,0.354,NA,NA
1967,piab,22.44,21.3,0.354,NA,NA
1967,piab,22.44,21.3,0.354,NA,NA
1967,piab,22.44,21.3,0.354,NA,NA
1967,piab,22.44,21.3,0.354,NA,NA
1967,piab,22.44,21.3,0.354,NA,NA
1967,piab,22.44,21.3,0.354,NA,NA
1967,piab,22.44,21.3,0.354,NA,NA
1967,piab,22.44,21.3,0.354,NA,NA
1967,piab,22.44,21.3,0.354,NA,NA
1967,piab,22.44,21.3,0.354,NA,NA
1967,piab,22.44,21.3,0.354,NA,NA
1967,piab,22.44,21.3,0.354,NA,NA
1967,piab,22.44,21.3,0.354,NA,NA
1967,piab,22.44,21.3,0.354,NA,NA
1967,piab,22.44,21.3,0.354,NA,NA
1967,piab,22.44,21.3,0.354,NA,NA
1967,piab,23.49,21.7,0.393,NA,NA
1967,piab,23.49,21.7,0.393,NA,NA
1967,piab,23.49,21.7,0.393,NA,NA
1967,piab,23.49,21.7,0.393,NA,NA
1967,piab,23.49,21.7,0.393,NA,NA
1967,piab,23.49,21.7,0.393,NA,NA
1967,piab,23.49,21.7,0.393,NA,NA
1967,piab,23.49,21.7,0.393,NA,NA
1967,piab,23.49,21.7,0.393,NA,NA
1967,piab,23.49,21.7,0.393,NA,NA
1967,piab,23.49,21.7,0.393,NA,NA
1967,piab,23.49,21.7,0.393,NA,NA
1967,piab,23.49,21.7,0.393,NA,NA
1967,piab,23.49,21.7,0.393,NA,NA
1967,piab,23.49,21.7,0.393,NA,NA
1967,piab,23.49,21.7,0.393,NA,NA
1967,piab,23.49,21.7,0.393,NA,NA
1967,piab,23.49,21.7,0.393,NA,NA
1967,piab,23.49,21.7,0.393,NA,NA
1967,piab,23.49,21.7,0.393,NA,NA
1967,piab,23.49,21.7,0.393,NA,NA
1967,piab,24.34,22,0.427,NA,NA
1967,piab,24.34,22,0.427,NA,NA
1967,piab,24.34,22,0.427,NA,NA
1967,piab,24.34,22,0.427,NA,NA
1967,piab,24.34,22,0.427,NA,NA
1967,piab,24.34,22,0.427,NA,NA
1967,piab,24.34,22,0.427,NA,NA
1967,piab,24.34,22,0.427,NA,NA
1967,piab,24.34,22,0.427,NA,NA
1967,piab,24.34,22,0.427,NA,NA
1967,piab,24.34,22,0.427,NA,NA
1967,piab,24.34,22,0.427,NA,NA
1967,piab,24.34,22,0.427,NA,NA
1967,piab,24.34,22,0.427,NA,NA
1967,piab,24.34,22,0.427,NA,NA
1967,piab,24.34,22,0.427,NA,NA
1967,piab,24.34,22,0.427,NA,NA
1967,piab,24.34,22,0.427,NA,NA
1967,piab,24.34,22,0.427,NA,NA
1967,piab,24.34,22,0.427,NA,NA
1967,piab,24.34,22,0.427,NA,NA
1967,piab,24.34,22,0.427,NA,NA
1967,piab,24.34,22,0.427,NA,NA
1967,piab,24.34,22,0.427,NA,NA
1967,piab,24.34,22,0.427,NA,NA
1967,piab,24.34,22,0.427,NA,NA
1967,piab,25.35,22.4,0.469,NA,NA
1967,piab,25.35,22.4,0.469,NA,NA
1967,piab,25.35,22.4,0.469,NA,NA
1967,piab,25.35,22.4,0.469,NA,NA
1967,piab,25.35,22.4,0.469,NA,NA
1967,piab,25.35,22.4,0.469,NA,NA
1967,piab,25.35,22.4,0.469,NA,NA
1967,piab,25.35,22.4,0.469,NA,NA
1967,piab,25.35,22.4,0.469,NA,NA
1967,piab,25.35,22.4,0.469,NA,NA
1967,piab,25.35,22.4,0.469,NA,NA
1967,piab,25.35,22.4,0.469,NA,NA
1967,piab,25.35,22.4,0.469,NA,NA
1967,piab,25.35,22.4,0.469,NA,NA
1967,piab,25.35,22.4,0.469,NA,NA
1967,piab,25.35,22.4,0.469,NA,NA
1967,piab,25.35,22.4,0.469,NA,NA
1967,piab,25.35,22.4,0.469,NA,NA
1967,piab,25.35,22.4,0.469,NA,NA
1967,piab,25.35,22.4,0.469,NA,NA
1967,piab,25.35,22.4,0.469,NA,NA
1967,piab,25.35,22.4,0.469,NA,NA
1967,piab,25.35,22.4,0.469,NA,NA
1967,piab,25.35,22.4,0.469,NA,NA
1967,piab,25.35,22.4,0.469,NA,NA
1967,piab,25.35,22.4,0.469,NA,NA
1967,piab,26.52,22.8,0.521,NA,NA
1967,piab,26.52,22.8,0.521,NA,NA
1967,piab,26.52,22.8,0.521,NA,NA
1967,piab,26.52,22.8,0.521,NA,NA
1967,piab,26.52,22.8,0.521,NA,NA
1967,piab,26.52,22.8,0.521,NA,NA
1967,piab,26.52,22.8,0.521,NA,NA
1967,piab,26.52,22.8,0.521,NA,NA
1967,piab,26.52,22.8,0.521,NA,NA
1967,piab,26.52,22.8,0.521,NA,NA
1967,piab,26.52,22.8,0.521,NA,NA
1967,piab,26.52,22.8,0.521,NA,NA
1967,piab,26.52,22.8,0.521,NA,NA
1967,piab,26.52,22.8,0.521,NA,NA
1967,piab,26.52,22.8,0.521,NA,NA
1967,piab,26.52,22.8,0.521,NA,NA
1967,piab,26.52,22.8,0.521,NA,NA
1967,piab,26.52,22.8,0.521,NA,NA
1967,piab,26.52,22.8,0.521,NA,NA
1967,piab,26.52,22.8,0.521,NA,NA
1967,piab,26.52,22.8,0.521,NA,NA
1967,piab,26.52,22.8,0.521,NA,NA
1967,piab,26.52,22.8,0.521,NA,NA
1967,piab,26.52,22.8,0.521,NA,NA
1967,piab,26.52,22.8,0.521,NA,NA
1967,piab,26.52,22.8,0.521,NA,NA
1967,piab,26.52,22.8,0.521,NA,NA
1967,piab,26.52,22.8,0.521,NA,NA
1967,piab,26.52,22.8,0.521,NA,NA
1967,piab,26.52,22.8,0.521,NA,NA
1967,piab,26.52,22.8,0.521,NA,NA
1967,piab,26.52,22.8,0.521,NA,NA
1967,piab,26.52,22.8,0.521,NA,NA
1967,piab,26.52,22.8,0.521,NA,NA
1967,piab,26.52,22.8,0.521,NA,NA
1967,piab,26.52,22.8,0.521,NA,NA
1967,piab,26.52,22.8,0.521,NA,NA
1967,piab,27.46,23.2,0.564,NA,NA
1967,piab,27.46,23.2,0.564,NA,NA
1967,piab,27.46,23.2,0.564,NA,NA
1967,piab,27.46,23.2,0.564,NA,NA
1967,piab,27.46,23.2,0.564,NA,NA
1967,piab,27.46,23.2,0.564,NA,NA
1967,piab,27.46,23.2,0.564,NA,NA
1967,piab,27.46,23.2,0.564,NA,NA
1967,piab,27.46,23.2,0.564,NA,NA
1967,piab,27.46,23.2,0.564,NA,NA
1967,piab,27.46,23.2,0.564,NA,NA
1967,piab,27.46,23.2,0.564,NA,NA
1967,piab,27.46,23.2,0.564,NA,NA
1967,piab,27.46,23.2,0.564,NA,NA
1967,piab,27.46,23.2,0.564,NA,NA
1967,piab,27.46,23.2,0.564,NA,NA
1967,piab,27.46,23.2,0.564,NA,NA
1967,piab,27.46,23.2,0.564,NA,NA
1967,piab,27.46,23.2,0.564,NA,NA
1967,piab,27.46,23.2,0.564,NA,NA
1967,piab,27.46,23.2,0.564,NA,NA
1967,piab,27.46,23.2,0.564,NA,NA
1967,piab,27.46,23.2,0.564,NA,NA
1967,piab,27.46,23.2,0.564,NA,NA
1967,piab,27.46,23.2,0.564,NA,NA
1967,piab,27.46,23.2,0.564,NA,NA
1967,piab,27.46,23.2,0.564,NA,NA
1967,piab,27.46,23.2,0.564,NA,NA
1967,piab,27.46,23.2,0.564,NA,NA
1967,piab,27.46,23.2,0.564,NA,NA
1967,piab,27.46,23.2,0.564,NA,NA
1967,piab,27.46,23.2,0.564,NA,NA
1967,piab,27.46,23.2,0.564,NA,NA
1967,piab,27.46,23.2,0.564,NA,NA
1967,piab,27.46,23.2,0.564,NA,NA
1967,piab,27.46,23.2,0.564,NA,NA
1967,piab,27.46,23.2,0.564,NA,NA
1967,piab,27.46,23.2,0.564,NA,NA
1967,piab,27.46,23.2,0.564,NA,NA
1967,piab,28.46,23.5,0.614,NA,NA
1967,piab,28.46,23.5,0.614,NA,NA
1967,piab,28.46,23.5,0.614,NA,NA
1967,piab,28.46,23.5,0.614,NA,NA
1967,piab,28.46,23.5,0.614,NA,NA
