year,species,D,H
1967,fasy,17.6,16.2
1967,fasy,17.6,16.2
1967,fasy,18.23333,17.8
1967,fasy,18.23333,17.8
1967,fasy,18.23333,17.8
1967,fasy,19.43333,19
1967,fasy,19.43333,19
1967,fasy,19.43333,19
1967,fasy,20.8,22.2
1967,fasy,20.8,22.2
1967,fasy,21.42,20.3
1967,fasy,21.42,20.3
1967,fasy,21.42,20.3
1967,fasy,21.42,20.3
1967,fasy,21.42,20.3
1967,fasy,22.3,22.8
1967,fasy,22.3,22.8
1967,fasy,23.2,21.2
1967,fasy,23.2,21.2
1967,fasy,23.2,21.2
1967,fasy,23.2,21.2
1967,fasy,24.5,22.3
1967,fasy,24.5,22.3
1967,fasy,24.5,22.3
1967,fasy,24.5,22.3
1967,fasy,24.5,22.3
1967,fasy,24.5,22.3
1967,fasy,25.7,22.5
1967,fasy,26.32,23
1967,fasy,26.32,23
1967,fasy,26.32,23
1967,fasy,26.32,23
1967,fasy,26.32,23
1967,fasy,27.41667,23.7
1967,fasy,27.41667,23.7
1967,fasy,27.41667,23.7
1967,fasy,27.41667,23.7
1967,fasy,27.41667,23.7
1967,fasy,27.41667,23.7
1967,fasy,28.41667,22.1
1967,fasy,28.41667,22.1
1967,fasy,28.41667,22.1
1967,fasy,28.41667,22.1
1967,fasy,28.41667,22.1
1967,fasy,28.41667,22.1
1967,fasy,29.4,23.4
1967,fasy,29.4,23.4
1967,fasy,29.4,23.4
1967,fasy,29.4,23.4
1967,fasy,29.4,23.4
1967,fasy,29.4,23.4
1967,fasy,29.4,23.4
1967,fasy,29.4,23.4
1967,fasy,29.4,23.4
1967,fasy,30.40714,23.6
1967,fasy,30.40714,23.6
1967,fasy,30.40714,23.6
1967,fasy,30.40714,23.6
1967,fasy,30.40714,23.6
1967,fasy,30.40714,23.6
1967,fasy,30.40714,23.6
1967,fasy,30.40714,23.6
1967,fasy,30.40714,23.6
1967,fasy,30.40714,23.6
1967,fasy,30.40714,23.6
1967,fasy,30.40714,23.6
1967,fasy,30.40714,23.6
1967,fasy,30.40714,23.6
1967,fasy,31.54,24.9
1967,fasy,31.54,24.9
1967,fasy,31.54,24.9
1967,fasy,31.54,24.9
1967,fasy,31.54,24.9
1967,fasy,32.47,23.6
1967,fasy,32.47,23.6
1967,fasy,32.47,23.6
1967,fasy,32.47,23.6
1967,fasy,32.47,23.6
1967,fasy,32.47,23.6
1967,fasy,32.47,23.6
1967,fasy,32.47,23.6
1967,fasy,32.47,23.6
1967,fasy,32.47,23.6
1967,fasy,33.51429,23.4
1967,fasy,33.51429,23.4
1967,fasy,33.51429,23.4
1967,fasy,33.51429,23.4
1967,fasy,33.51429,23.4
1967,fasy,33.51429,23.4
1967,fasy,33.51429,23.4
1967,fasy,34.5625,25.2
1967,fasy,34.5625,25.2
1967,fasy,34.5625,25.2
