year,species,D,H
1967,piab,14.3,17.1
1967,piab,15.8,18.1
1967,piab,16.35,18.4
1967,piab,16.35,18.4
1967,piab,17,18.7
1967,piab,18.5125,19.5
1967,piab,18.5125,19.5
1967,piab,18.5125,19.5
1967,piab,18.5125,19.5
1967,piab,18.5125,19.5
1967,piab,18.5125,19.5
1967,piab,18.5125,19.5
1967,piab,18.5125,19.5
1967,piab,19.45,20
1967,piab,19.45,20
1967,piab,19.45,20
1967,piab,19.45,20
1967,piab,20.48333,20.5
1967,piab,20.48333,20.5
1967,piab,20.48333,20.5
1967,piab,20.48333,20.5
1967,piab,20.48333,20.5
1967,piab,20.48333,20.5
1967,piab,20.48333,20.5
1967,piab,20.48333,20.5
1967,piab,20.48333,20.5
1967,piab,20.48333,20.5
1967,piab,20.48333,20.5
1967,piab,20.48333,20.5
1967,piab,21.41875,20.9
1967,piab,21.41875,20.9
1967,piab,21.41875,20.9
1967,piab,21.41875,20.9
1967,piab,21.41875,20.9
1967,piab,21.41875,20.9
1967,piab,21.41875,20.9
1967,piab,21.41875,20.9
1967,piab,21.41875,20.9
1967,piab,21.41875,20.9
1967,piab,21.41875,20.9
1967,piab,21.41875,20.9
1967,piab,21.41875,20.9
1967,piab,21.41875,20.9
1967,piab,21.41875,20.9
1967,piab,21.41875,20.9
1967,piab,22.44444,21.3
1967,piab,22.44444,21.3
1967,piab,22.44444,21.3
1967,piab,22.44444,21.3
1967,piab,22.44444,21.3
1967,piab,22.44444,21.3
1967,piab,22.44444,21.3
1967,piab,22.44444,21.3
1967,piab,22.44444,21.3
1967,piab,22.44444,21.3
1967,piab,22.44444,21.3
1967,piab,22.44444,21.3
1967,piab,22.44444,21.3
1967,piab,22.44444,21.3
1967,piab,22.44444,21.3
1967,piab,22.44444,21.3
1967,piab,22.44444,21.3
1967,piab,22.44444,21.3
1967,piab,22.44444,21.3
1967,piab,22.44444,21.3
1967,piab,22.44444,21.3
1967,piab,22.44444,21.3
1967,piab,22.44444,21.3
1967,piab,22.44444,21.3
1967,piab,22.44444,21.3
1967,piab,22.44444,21.3
1967,piab,22.44444,21.3
1967,piab,23.48572,21.7
1967,piab,23.48572,21.7
1967,piab,23.48572,21.7
1967,piab,23.48572,21.7
1967,piab,23.48572,21.7
1967,piab,23.48572,21.7
1967,piab,23.48572,21.7
1967,piab,23.48572,21.7
1967,piab,23.48572,21.7
1967,piab,23.48572,21.7
1967,piab,23.48572,21.7
1967,piab,23.48572,21.7
1967,piab,23.48572,21.7
1967,piab,23.48572,21.7
1967,piab,23.48572,21.7
1967,piab,23.48572,21.7
1967,piab,23.48572,21.7
1967,piab,23.48572,21.7
1967,piab,23.48572,21.7
1967,piab,23.48572,21.7
1967,piab,23.48572,21.7
