"year","species","D","H"
1998,"acpl",17.7752,12.7459
1998,"fasy",15.7183,12.2948
1998,"fasy",37.8419,23.2008
1998,"fasy",23.562,16.676
1998,"fasy",42.4239,24.9574
1998,"fasy",30.4135,20.0198
1998,"fasy",16.3783,12.6882
1998,"fasy",45.3604,26.008
1998,"fasy",41.5737,24.6425
1998,"fasy",31.4628,20.4958
1998,"fasy",31.346,20.4433
1998,"fasy",29.7985,19.7365
1998,"fasy",27.2699,18.5376
1998,"fasy",26.2394,18.0328
1998,"fasy",24.5367,17.1777
1998,"fasy",23.8226,16.8109
1998,"fasy",23.702,16.7485
1998,"fasy",20.3612,14.9638
1998,"fasy",16.8065,12.9409
1998,"fasy",36.055,22.4747
1998,"fasy",35.8176,22.3764
1998,"fasy",19.5852,14.5334
1998,"fasy",19.2482,14.3446
1998,"fasy",44.3778,25.6627
1998,"fasy",42.3023,24.9127
1998,"fasy",14.2954,11.4303
1998,"fasy",11.4513,9.6332
1998,"fasy",40.6056,24.2779
1998,"fasy",39.7614,23.9546
1998,"fasy",37.603,23.105
1998,"fasy",22.8854,16.3223
1998,"fasy",21.1917,15.4178
1998,"fasy",20.7262,15.1642
1998,"fasy",20.5855,15.0871
1998,"fasy",27.562,18.679
1998,"fasy",22.2461,15.9842
1998,"fasy",35.462,22.2284
1998,"fasy",34.1618,21.679
1998,"fasy",33.5006,21.3946
1998,"fasy",29.1632,19.4405
1998,"fasy",25.6835,17.7566
1998,"fasy",25.4269,17.6281
1998,"fasy",25.4269,17.6281
1998,"fasy",33.9261,21.578
1998,"fasy",32.6331,21.0161
1998,"fasy",29.8862,19.7771
1998,"fasy",29.4502,19.5747
1998,"fasy",46.2233,26.3061
1998,"fasy",36.5303,22.6702
1998,"fasy",45.6066,26.0936
1998,"fasy",41.3314,24.5518
1998,"fasy",40.0023,24.0474
1998,"fasy",32.3987,20.9128
1998,"fasy",30.996,20.2852
1998,"fasy",28.9127,19.3229
1998,"fasy",28.4147,19.0873
1998,"fasy",25.237,17.5326
1998,"fasy",24.5919,17.2058
1998,"fasy",22.9345,16.3482
1998,"fasy",22.6954,16.2223
1998,"fasy",19.5347,14.5052
1998,"fasy",18.9648,14.1849
1998,"fasy",18.737,14.0559
1998,"fasy",16.9698,13.0368
1998,"fasy",15.8694,12.3853
1998,"fasy",14.6557,11.6513
1998,"fasy",13.012,10.6309
1998,"fasy",12.463,10.2832
1998,"fasy",12.3517,10.2123
1998,"fasy",10.4905,9.0046
1998,"fasy",7.9626,7.2969
1998,"fasy",15.8075,12.3483
1998,"fasy",14.9344,11.8213
1998,"fasy",14.7162,11.6883
1998,"fasy",15.8099,12.3497
1998,"fasy",15.1526,11.9538
1998,"fasy",12.9716,10.6055
1998,"fasy",12.8626,10.5367
1998,"fasy",11.4451,9.6292
1998,"fasy",8.8228,7.8869
1998,"fasy",38.4402,23.4386
1998,"fasy",29.4169,19.5591
1998,"fasy",28.8239,19.281
1998,"fasy",27.1794,18.4937
1998,"fasy",18.1308,13.71
1998,"fasy",16.484,12.7508
1998,"fasy",16.1475,12.5512
1998,"fasy",14.8271,11.756
1998,"fasy",14.28,11.4208
1998,"fasy",12.6446,10.3986
1998,"fasy",12.3175,10.1905
1998,"fasy",11.4451,9.6292
1998,"fasy",28.9898,19.3591
1998,"fasy",28.3758,19.0688
1998,"fasy",27.8025,18.7948
1998,"fasy",26.8892,18.3523
1998,"fasy",41.695,24.6877
1998,"fasy",37.8419,23.2008
1998,"fasy",35.5805,22.2778
1998,"fasy",32.0425,20.7549
1998,"fasy",31.0619,20.315
1998,"fasy",28.5693,19.1607
1998,"fasy",27.2051,18.5062
1998,"fasy",26.0966,17.9622
1998,"fasy",25.5979,17.7138
1998,"fasy",24.6044,17.2121
1998,"fasy",24.101,16.9545
1998,"fasy",22.8481,16.3028
