"year","species","D_cm","H_m","V_m3","X_utm","Y_utm"
1967,"piab",41.4585,26.4724,NA,NA,NA
1967,"piab",41.1518,26.3355,NA,NA,NA
1967,"piab",38.902,25.3129,NA,NA,NA
1967,"piab",34.9104,23.4168,NA,NA,NA
1967,"piab",34.808,23.3668,NA,NA,NA
1967,"piab",34.4621,23.1971,NA,NA,NA
1967,"piab",33.8009,22.8705,NA,NA,NA
1967,"piab",31.6132,21.7679,NA,NA,NA
1967,"piab",31.4715,21.6953,NA,NA,NA
1967,"piab",31.1269,21.5181,NA,NA,NA
1967,"piab",30.9871,21.446,NA,NA,NA
1967,"piab",30.7468,21.3217,NA,NA,NA
1967,"piab",30.4065,21.1449,NA,NA,NA
1967,"piab",29.967,20.9154,NA,NA,NA
1967,"piab",29.8332,20.8453,NA,NA,NA
1967,"piab",29.0947,20.4556,NA,NA,NA
1967,"piab",28.8642,20.3331,NA,NA,NA
1967,"piab",28.5345,20.1573,NA,NA,NA
1967,"piab",28.4082,20.0897,NA,NA,NA
1967,"piab",27.6794,19.6974,NA,NA,NA
1967,"piab",27.5568,19.631,NA,NA,NA
1967,"piab",27.2346,19.4559,NA,NA,NA
1967,"piab",26.8135,19.226,NA,NA,NA
1967,"piab",26.0933,18.8295,NA,NA,NA
1967,"piab",25.7765,18.6538,NA,NA,NA
1967,"piab",23.9565,17.629,NA,NA,NA
1967,"piab",21.5418,16.2281,NA,NA,NA
1967,"piab",18.9294,14.6578,NA,NA,NA
1967,"piab",16.6212,13.2212,NA,NA,NA
1967,"piab",42.7889,27.0594,NA,NA,NA
1967,"piab",40.436,26.0137,NA,NA,NA
1967,"piab",37.8787,24.837,NA,NA,NA
1967,"piab",37.367,24.5964,NA,NA,NA
1967,"piab",37.2647,24.5481,NA,NA,NA
1967,"piab",36.5969,24.231,NA,NA,NA
1967,"piab",35.112,23.5152,NA,NA,NA
1967,"piab",34.2451,23.0903,NA,NA,NA
1967,"piab",34.0944,23.0159,NA,NA,NA
1967,"piab",33.9444,22.9417,NA,NA,NA
1967,"piab",33.5927,22.767,NA,NA,NA
1967,"piab",33.1419,22.542,NA,NA,NA
1967,"piab",32.6941,22.3169,NA,NA,NA
1967,"piab",32.1482,22.0407,NA,NA,NA
1967,"piab",31.8076,21.8673,NA,NA,NA
1967,"piab",31.3688,21.6426,NA,NA,NA
1967,"piab",30.6307,21.2615,NA,NA,NA
1967,"piab",30.2897,21.0841,NA,NA,NA
1967,"piab",30.2897,21.0841,NA,NA,NA
1967,"piab",29.7426,20.7977,NA,NA,NA
1967,"piab",28.8152,20.3071,NA,NA,NA
1967,"piab",28.6938,20.2424,NA,NA,NA
1967,"piab",28.3732,20.071,NA,NA,NA
1967,"piab",27.9543,19.8459,NA,NA,NA
1967,"piab",27.6321,19.6718,NA,NA,NA
1967,"piab",27.6321,19.6718,NA,NA,NA
1967,"piab",26.9074,19.2774,NA,NA,NA
1967,"piab",26.7,19.1638,NA,NA,NA
1967,"piab",26.1,18.8332,NA,NA,NA
1967,"piab",25.8,18.6669,NA,NA,NA
1967,"piab",25,18.2198,NA,NA,NA
1967,"piab",24.7998,18.1071,NA,NA,NA
1967,"piab",23.9989,17.6532,NA,NA,NA
1967,"piab",23.9989,17.6532,NA,NA,NA
1967,"piab",23.301,17.2535,NA,NA,NA
1967,"piab",22.2003,16.615,NA,NA,NA
1967,"piab",21,15.9072,NA,NA,NA
1967,"piab",16.1007,12.8907,NA,NA,NA
1967,"piab",41.4585,26.4724,NA,NA,NA
1967,"piab",39.7202,25.6886,NA,NA,NA
1967,"piab",37.8787,24.837,NA,NA,NA
1967,"piab",36.6506,24.2566,NA,NA,NA
1967,"piab",36.4459,24.1589,NA,NA,NA
1967,"piab",36.2627,24.0712,NA,NA,NA
1967,"piab",36.2627,24.0712,NA,NA,NA
1967,"piab",36.2627,24.0712,NA,NA,NA
1967,"piab",35.6043,23.7542,NA,NA,NA
1967,"piab",35.6043,23.7542,NA,NA,NA
1967,"piab",35.1091,23.5138,NA,NA,NA
1967,"piab",34.957,23.4396,NA,NA,NA
1967,"piab",34.3011,23.1179,NA,NA,NA
1967,"piab",33.8516,22.8957,NA,NA,NA
1967,"piab",33.4056,22.6738,NA,NA,NA
1967,"piab",32.9631,22.4523,NA,NA,NA
1967,"piab",32.7137,22.3268,NA,NA,NA
1967,"piab",32.7137,22.3268,NA,NA,NA
1967,"piab",32.3572,22.1467,NA,NA,NA
1967,"piab",31.4241,21.671,NA,NA,NA
1967,"piab",30.0943,20.982,NA,NA,NA
1967,"piab",29.2639,20.5452,NA,NA,NA
1967,"piab",29.2639,20.5452,NA,NA,NA
1967,"piab",29.0324,20.4225,NA,NA,NA
1967,"piab",28.4152,20.0935,NA,NA,NA
1967,"piab",27.6003,19.6546,NA,NA,NA
1967,"piab",27.1,19.3826,NA,NA,NA
1967,"piab",26.9,19.2733,NA,NA,NA
1967,"piab",26.9,19.2733,NA,NA,NA
1967,"piab",26.6,19.1089,NA,NA,NA
1967,"piab",26.3,18.9437,NA,NA,NA
1967,"piab",26.1,18.8332,NA,NA,NA
1967,"piab",24.099,17.7102,NA,NA,NA
1967,"piab",23.7013,17.4833,NA,NA,NA
1967,"piab",22.7006,16.9064,NA,NA,NA
1967,"piab",22.4004,16.7318,NA,NA,NA
1967,"piab",21.5001,16.2035,NA,NA,NA
1967,"piab",18.1002,14.1471,NA,NA,NA
1967,"piab",43.9131,27.5469,NA,NA,NA
1967,"piab",38.6973,25.2183,NA,NA,NA
1967,"piab",38.595,25.1709,NA,NA,NA
1967,"piab",38.288,25.0282,NA,NA,NA
1967,"piab",37.5717,24.6929,NA,NA,NA
1967,"piab",35.9808,23.9358,NA,NA,NA
1967,"piab",35.62,23.7618,NA,NA,NA
1967,"piab",35.1587,23.5379,NA,NA,NA
1967,"piab",34.6995,23.3136,NA,NA,NA
1967,"piab",34.5473,23.239,NA,NA,NA
1967,"piab",33.4688,22.7053,NA,NA,NA
1967,"piab",33.4688,22.7053,NA,NA,NA
1967,"piab",33.2936,22.6179,NA,NA,NA
1967,"piab",33.0492,22.4955,NA,NA,NA
1967,"piab",32.9081,22.4246,NA,NA,NA
1967,"piab",31.7612,21.8435,NA,NA,NA
1967,"piab",31.6268,21.7749,NA,NA,NA
1967,"piab",31.4944,21.707,NA,NA,NA
1967,"piab",31.3639,21.6401,NA,NA,NA
1967,"piab",29.9301,20.8961,NA,NA,NA
1967,"piab",27.8997,19.8164,NA,NA,NA
1967,"piab",27.3795,19.5348,NA,NA,NA
1967,"piab",26.5556,19.0845,NA,NA,NA
1967,"piab",26.5556,19.0845,NA,NA,NA
1967,"piab",25.7263,18.6259,NA,NA,NA
1967,"piab",25.7263,18.6259,NA,NA,NA
1967,"piab",23.7072,17.4866,NA,NA,NA
1967,"piab",23.6012,17.4259,NA,NA,NA
1967,"piab",22.4004,16.7318,NA,NA,NA
1967,"piab",22.1003,16.5564,NA,NA,NA
1967,"piab",21.1,15.9667,NA,NA,NA
1967,"piab",19.7,15.1271,NA,NA,NA
1967,"piab",19.0001,14.701,NA,NA,NA
1967,"piab",18.1002,14.1471,NA,NA,NA
1967,"piab",43.9131,27.5469,NA,NA,NA
1967,"piab",43.5043,27.3705,NA,NA,NA
1967,"piab",42.4822,26.9251,NA,NA,NA
1967,"piab",41.1518,26.3355,NA,NA,NA
1967,"piab",40.3001,25.9522,NA,NA,NA
1967,"piab",39.5139,25.5943,NA,NA,NA
1967,"piab",39.2402,25.4688,NA,NA,NA
1967,"piab",38.5613,25.1553,NA,NA,NA
1967,"piab",37.6836,24.7455,NA,NA,NA
1967,"piab",36.8938,24.3724,NA,NA,NA
1967,"piab",36.8938,24.3724,NA,NA,NA
1967,"piab",36.4972,24.1834,NA,NA,NA
1967,"piab",35.4362,23.6728,NA,NA,NA
1967,"piab",35.1883,23.5523,NA,NA,NA
1967,"piab",34.6416,23.2853,NA,NA,NA
1967,"piab",34.4008,23.167,NA,NA,NA
1967,"piab",34.1516,23.0441,NA,NA,NA
1967,"piab",34.1516,23.0441,NA,NA,NA
1967,"piab",33.4957,22.7187,NA,NA,NA
1967,"piab",32.7661,22.3532,NA,NA,NA
1967,"piab",32.5409,22.2396,NA,NA,NA
1967,"piab",32.2178,22.076,NA,NA,NA
1967,"piab",31.9,21.9144,NA,NA,NA
1967,"piab",31.9,21.9144,NA,NA,NA
1967,"piab",31.7,21.8123,NA,NA,NA
1967,"piab",31.5,21.7099,NA,NA,NA
1967,"piab",30.9,21.401,NA,NA,NA
1967,"piab",29.3,20.5643,NA,NA,NA
1967,"piab",28.1,19.9243,NA,NA,NA
1967,"piab",27.6,19.6544,NA,NA,NA
1967,"piab",25.4,18.444,NA,NA,NA
1967,"piab",25.3,18.388,NA,NA,NA
1967,"piab",24.4994,17.9375,NA,NA,NA
1967,"piab",24.2992,17.824,NA,NA,NA
1967,"piab",23.6012,17.4259,NA,NA,NA
1967,"piab",23.4011,17.311,NA,NA,NA
1967,"piab",22.2003,16.615,NA,NA,NA
1967,"piab",21.3001,16.0853,NA,NA,NA
1967,"piab",20.5992,15.6682,NA,NA,NA
1967,"piab",20.2009,15.4294,NA,NA,NA
1967,"piab",41.8689,26.6546,NA,NA,NA
1967,"piab",39.7202,25.6886,NA,NA,NA
1967,"piab",39.1066,25.4073,NA,NA,NA
1967,"piab",38.902,25.3129,NA,NA,NA
1967,"piab",38.1857,24.9805,NA,NA,NA
1967,"piab",37.4088,24.6161,NA,NA,NA
1967,"piab",36.8385,24.3461,NA,NA,NA
1967,"piab",36.576,24.2211,NA,NA,NA
1967,"piab",36.1115,23.9987,NA,NA,NA
1967,"piab",35.0238,23.4722,NA,NA,NA
1967,"piab",35.0238,23.4722,NA,NA,NA
1967,"piab",34.1299,23.0334,NA,NA,NA
1967,"piab",33.2754,22.6087,NA,NA,NA
1967,"piab",31.7192,21.8221,NA,NA,NA
1967,"piab",31.5826,21.7522,NA,NA,NA
1967,"piab",30.6417,21.2672,NA,NA,NA
1967,"piab",30.1081,20.9893,NA,NA,NA
1967,"piab",29.7786,20.8166,NA,NA,NA
1967,"piab",29.6523,20.7502,NA,NA,NA
1967,"piab",29.3267,20.5785,NA,NA,NA
1967,"piab",28.7022,20.2469,NA,NA,NA
1967,"piab",28.4814,20.1289,NA,NA,NA
1967,"piab",28.3564,20.062,NA,NA,NA
1967,"piab",28.3564,20.062,NA,NA,NA
1967,"piab",27.9226,19.8287,NA,NA,NA
1967,"piab",27.9226,19.8287,NA,NA,NA
1967,"piab",27.2,19.4371,NA,NA,NA
1967,"piab",27,19.328,NA,NA,NA
1967,"piab",26.9,19.2733,NA,NA,NA
1967,"piab",26.2,18.8885,NA,NA,NA
1967,"piab",26,18.7778,NA,NA,NA
1967,"piab",25.1,18.276,NA,NA,NA
1967,"piab",24.3993,17.8808,NA,NA,NA
1967,"piab",24.3993,17.8808,NA,NA,NA
1967,"piab",24.2992,17.824,NA,NA,NA
1967,"piab",23.301,17.2535,NA,NA,NA
1967,"piab",23.2009,17.1958,NA,NA,NA
1967,"piab",22.9007,17.0224,NA,NA,NA
1967,"piab",22.3004,16.6734,NA,NA,NA
1967,"piab",22.3004,16.6734,NA,NA,NA
1967,"piab",22.2003,16.615,NA,NA,NA
1967,"piab",21.2,16.026,NA,NA,NA
1967,"piab",43.0955,27.1931,NA,NA,NA
1967,"piab",42.0733,26.745,NA,NA,NA
1967,"piab",41.9711,26.6999,NA,NA,NA
1967,"piab",41.1518,26.3355,NA,NA,NA
1967,"piab",38.1632,24.97,NA,NA,NA
1967,"piab",37.794,24.7973,NA,NA,NA
1967,"piab",37.1202,24.4798,NA,NA,NA
1967,"piab",35.9412,23.9168,NA,NA,NA
1967,"piab",35.7842,23.8411,NA,NA,NA
1967,"piab",35.0198,23.4702,NA,NA,NA
1967,"piab",34.6651,23.2968,NA,NA,NA
1967,"piab",34.4144,23.1737,NA,NA,NA
1967,"piab",34.2671,23.1011,NA,NA,NA
1967,"piab",33.8192,22.8796,NA,NA,NA
1967,"piab",33.6773,22.8091,NA,NA,NA
1967,"piab",32.7323,22.3362,NA,NA,NA
1967,"piab",31.7926,21.8596,NA,NA,NA
1967,"piab",31.6616,21.7926,NA,NA,NA
1967,"piab",31.1309,21.5202,NA,NA,NA
1967,"piab",30.5031,21.1952,NA,NA,NA
1967,"piab",29.9786,20.9215,NA,NA,NA
1967,"piab",29.8573,20.8579,NA,NA,NA
1967,"piab",29.4373,20.6369,NA,NA,NA
1967,"piab",29.1193,20.4686,NA,NA,NA
1967,"piab",28.703,20.2473,NA,NA,NA
1967,"piab",28.6,20.1923,NA,NA,NA
1967,"piab",28.3,20.0317,NA,NA,NA
1967,"piab",27.5,19.6002,NA,NA,NA
1967,"piab",27,19.328,NA,NA,NA
1967,"piab",26.9,19.2733,NA,NA,NA
1967,"piab",26.6,19.1089,NA,NA,NA
1967,"piab",25.6,18.5556,NA,NA,NA
1967,"piab",25.4,18.444,NA,NA,NA
1967,"piab",25.1,18.276,NA,NA,NA
1967,"piab",24.3993,17.8808,NA,NA,NA
1967,"piab",21.5001,16.2035,NA,NA,NA
1967,"piab",19.2001,14.8232,NA,NA,NA
1967,"piab",14.3015,11.7295,NA,NA,NA
1967,"piab",41.9711,26.6999,NA,NA,NA
1967,"piab",40.8451,26.198,NA,NA,NA
1967,"piab",40.1293,25.8748,NA,NA,NA
1967,"piab",38.6973,25.2183,NA,NA,NA
1967,"piab",37.5674,24.6909,NA,NA,NA
1967,"piab",36.7925,24.3242,NA,NA,NA
1967,"piab",35.697,23.799,NA,NA,NA
1967,"piab",35.697,23.799,NA,NA,NA
1967,"piab",35.0978,23.5083,NA,NA,NA
1967,"piab",34.5382,23.2345,NA,NA,NA
1967,"piab",33.4751,22.7084,NA,NA,NA
1967,"piab",31.8101,21.8685,NA,NA,NA
1967,"piab",31.6704,21.7972,NA,NA,NA
1967,"piab",31.4312,21.6746,NA,NA,NA
1967,"piab",31.194,21.5527,NA,NA,NA
1967,"piab",30.8475,21.3738,NA,NA,NA
1967,"piab",30.8475,21.3738,NA,NA,NA
1967,"piab",30.2935,21.0861,NA,NA,NA
1967,"piab",29.9644,20.9141,NA,NA,NA
1967,"piab",28.6332,20.21,NA,NA,NA
1967,"piab",27.5075,19.6043,NA,NA,NA
1967,"piab",26.6864,19.1563,NA,NA,NA
1967,"piab",25.7678,18.6489,NA,NA,NA
1967,"piab",24.7512,18.0797,NA,NA,NA
1967,"piab",23.6388,17.4475,NA,NA,NA
1967,"piab",23.5281,17.384,NA,NA,NA
1967,"piab",21.616,16.2719,NA,NA,NA
1967,"piab",44.3218,27.7222,NA,NA,NA
1967,"piab",42.38,26.8802,NA,NA,NA
1967,"piab",41.9711,26.6999,NA,NA,NA
1967,"piab",41.7653,26.6087,NA,NA,NA
1967,"piab",40.3018,25.953,NA,NA,NA
1967,"piab",39.6176,25.6418,NA,NA,NA
1967,"piab",38.0203,24.9033,NA,NA,NA
1967,"piab",37.8547,24.8257,NA,NA,NA
1967,"piab",36.7767,24.3167,NA,NA,NA
1967,"piab",35.6039,23.754,NA,NA,NA
1967,"piab",34.9442,23.4334,NA,NA,NA
1967,"piab",34.7943,23.3601,NA,NA,NA
1967,"piab",34.3292,23.1317,NA,NA,NA
1967,"piab",34.3292,23.1317,NA,NA,NA
1967,"piab",33.1507,22.5464,NA,NA,NA
1967,"piab",33.0137,22.4777,NA,NA,NA
1967,"piab",32.4768,22.2072,NA,NA,NA
1967,"piab",31.7427,21.8341,NA,NA,NA
1967,"piab",31.5055,21.7127,NA,NA,NA
1967,"piab",31.5055,21.7127,NA,NA,NA
1967,"piab",29.5609,20.7021,NA,NA,NA
1967,"piab",29.0409,20.4271,NA,NA,NA
1967,"piab",28.4231,20.0977,NA,NA,NA
1967,"piab",27.8075,19.7666,NA,NA,NA
1967,"piab",27.4,19.5459,NA,NA,NA
1967,"piab",27.4,19.5459,NA,NA,NA
1967,"piab",27.3,19.4916,NA,NA,NA
1967,"piab",27,19.328,NA,NA,NA
1967,"piab",26.3,18.9437,NA,NA,NA
1967,"piab",25.2,18.332,NA,NA,NA
1967,"piab",25.2,18.332,NA,NA,NA
1967,"piab",25.1,18.276,NA,NA,NA
1967,"piab",24.8999,18.1635,NA,NA,NA
1967,"piab",24.2992,17.824,NA,NA,NA
1967,"piab",24.1991,17.7672,NA,NA,NA
1967,"piab",22.4004,16.7318,NA,NA,NA
1967,"piab",21.6001,16.2626,NA,NA,NA
1967,"piab",21.6001,16.2626,NA,NA,NA
1967,"piab",21.6001,16.2626,NA,NA,NA
1967,"piab",20.4988,15.6081,NA,NA,NA
1967,"piab",20.4988,15.6081,NA,NA,NA
1967,"piab",17.0004,13.4605,NA,NA,NA
1967,"piab",39.1066,25.4073,NA,NA,NA
1967,"piab",38.3904,25.0759,NA,NA,NA
1967,"piab",38.288,25.0282,NA,NA,NA
1967,"piab",37.5717,24.6929,NA,NA,NA
1967,"piab",37.1624,24.4997,NA,NA,NA
1967,"piab",36.5081,24.1887,NA,NA,NA
1967,"piab",35.8394,23.8677,NA,NA,NA
1967,"piab",35.479,23.6935,NA,NA,NA
1967,"piab",35.1202,23.5192,NA,NA,NA
1967,"piab",34.9664,23.4442,NA,NA,NA
1967,"piab",33.4951,22.7184,NA,NA,NA
1967,"piab",33.3485,22.6453,NA,NA,NA
1967,"piab",32.8998,22.4205,NA,NA,NA
1967,"piab",32.6564,22.2979,NA,NA,NA
1967,"piab",32.1123,22.0224,NA,NA,NA
1967,"piab",31.6725,21.7982,NA,NA,NA
1967,"piab",31.5379,21.7293,NA,NA,NA
1967,"piab",31.395,21.656,NA,NA,NA
1967,"piab",31.395,21.656,NA,NA,NA
1967,"piab",31.1451,21.5275,NA,NA,NA
1967,"piab",30.8173,21.3582,NA,NA,NA
1967,"piab",30.4918,21.1893,NA,NA,NA
1967,"piab",30.3689,21.1254,NA,NA,NA
1967,"piab",30.0473,20.9575,NA,NA,NA
1967,"piab",29.2275,20.5259,NA,NA,NA
1967,"piab",29.0105,20.4109,NA,NA,NA
