"year","species","D","H"
1967,"fasy",52.0312,28.1946
1967,"fasy",49.4821,27.3905
1967,"fasy",45.3999,26.0218
1967,"fasy",45.2978,25.9862
1967,"fasy",42.847,25.1123
1967,"fasy",41.1105,24.4689
1967,"fasy",40.2921,24.1584
1967,"fasy",39.9856,24.041
1967,"fasy",39.8834,24.0017
1967,"fasy",39.6314,23.9044
1967,"fasy",38.4211,23.431
1967,"fasy",37.5262,23.0742
1967,"fasy",36.032,22.4652
1967,"fasy",33.2345,21.2791
1967,"fasy",32.9826,21.1693
1967,"fasy",32.6334,21.0162
1967,"fasy",29.0612,19.3927
1967,"fasy",20.0625,14.7989
1967,"fasy",52.337,28.2886
1967,"fasy",47.5434,26.7532
1967,"fasy",47.4414,26.7191
1967,"fasy",45.6041,26.0927
1967,"fasy",43.1534,25.2237
1967,"fasy",38.8616,23.6046
1967,"fasy",38.3506,23.4031
1967,"fasy",36.1015,22.4939
1967,"fasy",31.1928,20.3742
1967,"fasy",30.9882,20.2817
1967,"fasy",28.6094,19.1796
1967,"fasy",27.9593,18.87
1967,"fasy",23.4413,16.6132
1967,"fasy",22.503,16.1205
1967,"fasy",21.7716,15.7307
1967,"fasy",51.3176,27.9733
1967,"fasy",48.2575,26.9906
1967,"fasy",47.2373,26.6505
1967,"fasy",45.9103,26.1986
1967,"fasy",43.1534,25.2237
1967,"fasy",41.2126,24.5073
1967,"fasy",39.8834,24.0017
1967,"fasy",39.1682,23.7245
1967,"fasy",39.066,23.6846
1967,"fasy",38.8205,23.5884
1967,"fasy",36.393,22.6138
1967,"fasy",35.5083,22.2478
1967,"fasy",33.7184,21.4886
1967,"fasy",33.4608,21.3773
1967,"fasy",32.094,20.7778
1967,"fasy",31.2416,20.3963
1967,"fasy",28.9822,19.3555
1967,"fasy",49.5841,27.4234
1967,"fasy",49.074,27.2582
1967,"fasy",45.9103,26.1986
1967,"fasy",44.4809,25.6993
1967,"fasy",42.2341,24.8875
1967,"fasy",41.6212,24.6602
1967,"fasy",41.2126,24.5073
1967,"fasy",41.0083,24.4304
1967,"fasy",34.67,21.8953
1967,"fasy",29.2433,19.478
1967,"fasy",24.9152,17.3701
1967,"fasy",22.9522,16.3574
1967,"fasy",21.7085,15.6968
1967,"fasy",44.7873,25.8074
1967,"fasy",41.5191,24.6221
1967,"fasy",40.8029,24.3527
1967,"fasy",38.6573,23.5242
1967,"fasy",37.6351,23.1179
1967,"fasy",35.3858,22.1966
1967,"fasy",33.2383,21.2808
1967,"fasy",32.727,21.0573
1967,"fasy",32.1133,20.7864
1967,"fasy",31.4997,20.5124
1967,"fasy",30.6814,20.1422
1967,"fasy",27.2035,18.5054
1967,"fasy",18.4068,13.8679
1967,"fasy",18.2023,13.751
1967,"fasy",17.7908,13.5143
1967,"fasy",56.0044,29.3754
1967,"fasy",47.0331,26.5817
1967,"fasy",45.6041,26.0927
1967,"fasy",45.3999,26.0218
1967,"fasy",44.2767,25.6269
1967,"fasy",43.5619,25.3713
1967,"fasy",42.0298,24.8121
1967,"fasy",40.5986,24.2752
1967,"fasy",39.679,23.9228
1967,"fasy",38.2727,23.3723
1967,"fasy",37.783,23.1772
1967,"fasy",36.0809,22.4854
1967,"fasy",32.6695,21.0321
1967,"fasy",31.7092,20.6063
1967,"fasy",26.812,18.3145
1967,"fasy",24.865,17.3446
1967,"fasy",24.5408,17.1797
1967,"fasy",19.175,14.3034
1967,"fasy",53.3561,28.598
1967,"fasy",45.9103,26.1986
1967,"fasy",43.9704,25.5178
1967,"fasy",42.6427,25.0376
1967,"fasy",41.5191,24.6221
1967,"fasy",40.9061,24.3918
1967,"fasy",40.3942,24.1974
1967,"fasy",39.3725,23.8041
1967,"fasy",38.3178,23.3901
1967,"fasy",37.9287,23.2354
1967,"fasy",35.918,22.418
1967,"fasy",30.4725,20.0468
1967,"fasy",25.2595,17.544
1967,"fasy",24.8291,17.3264
1967,"fasy",23.6939,16.7443
1967,"fasy",21.0439,15.3375
1967,"fasy",18.8065,14.0953
1967,"fasy",50.6036,27.7489
1967,"fasy",47.952,26.8894
1967,"fasy",46.7269,26.478
1967,"fasy",45.502,26.0573
1967,"fasy",42.847,25.1123
1967,"fasy",42.2341,24.8875
1967,"fasy",39.2703,23.7643
1967,"fasy",38.9638,23.6446
1967,"fasy",35.6926,22.3245
1967,"fasy",32.6144,21.0078
1967,"fasy",31.1322,20.3468
1967,"fasy",29.5568,19.6243
1967,"fasy",28.9055,19.3195
1967,"fasy",26.6324,18.2265
1967,"fasy",26.5012,18.162
1967,"fasy",24.6466,17.2337
1967,"fasy",21.3825,15.5211
1967,"fasy",52.8466,28.444
1967,"fasy",48.8699,27.1917
1967,"fasy",43.9704,25.5178
1967,"fasy",43.5619,25.3713
1967,"fasy",42.3363,24.9252
1967,"fasy",38.2484,23.3626
1967,"fasy",38.1462,23.322
1967,"fasy",35.5903,22.2819
1967,"fasy",33.4429,21.3696
1967,"fasy",31.0905,20.328
1967,"fasy",30.3574,19.9941
1967,"fasy",26.7422,18.2804
1967,"fasy",56.4116,29.4916
1967,"fasy",51.0117,27.8775
1967,"fasy",48.9719,27.225
1967,"fasy",43.2555,25.2607
1967,"fasy",40.5986,24.2752
1967,"fasy",40.4964,24.2364
1967,"fasy",37.6351,23.1179
1967,"fasy",37.1239,22.9119
1967,"fasy",34.9768,22.0249
1967,"fasy",34.6475,21.8858
1967,"fasy",27.7532,18.7711
1967,"fasy",19.7717,14.6374
1967,"fasy",65.8628,31.9592
1967,"fasy",49.7882,27.489
1967,"fasy",46.9311,26.5472
1967,"fasy",42.2341,24.8875
1967,"fasy",42.2341,24.8875
1967,"fasy",41.6212,24.6602
1967,"fasy",40.7007,24.314
1967,"fasy",39.4747,23.8437
1967,"fasy",39.2496,23.7562
1967,"fasy",38.6513,23.5219
1967,"fasy",38.3636,23.4083
1967,"fasy",37.2691,22.9706
1967,"fasy",36.5902,22.6946
1967,"fasy",36.3232,22.5852
1967,"fasy",33.4375,21.3672
1967,"fasy",30.8718,20.2289
1967,"fasy",29.7293,19.7045
1967,"fasy",27.4859,18.6422
1967,"fasy",21.6307,15.655
1967,"fasy",47.7477,26.8214
1967,"fasy",42.7448,25.075
1967,"fasy",41.7234,24.6983
1967,"fasy",41.2126,24.5073
1967,"fasy",36.9195,22.8289
1967,"fasy",35.1813,22.1109
1967,"fasy",31.0905,20.328
1967,"fasy",30.7837,20.1888
1967,"fasy",30.2722,19.955
1967,"fasy",30.0677,19.8609
1967,"fasy",21.2702,15.4603
1967,"fasy",56.0044,29.3754
1967,"fasy",45.2978,25.9862
1967,"fasy",44.4809,25.6993
1967,"fasy",40.7007,24.314
1967,"fasy",39.3725,23.8041
1967,"fasy",37.8395,23.1998
1967,"fasy",27.7149,18.7527
1967,"fasy",23.7257,16.7608
1967,"fasy",23.7257,16.7608
1967,"fasy",22.2944,16.0099
1967,"fasy",43.7661,25.4447
1967,"fasy",43.5619,25.3713
1967,"fasy",42.4384,24.9627
1967,"fasy",42.4384,24.9627
1967,"fasy",41.9277,24.7742
1967,"fasy",41.4169,24.5839
1967,"fasy",39.679,23.9228
1967,"fasy",38.555,23.4839
1967,"fasy",37.2262,22.9532
1967,"fasy",37.2262,22.9532
1967,"fasy",34.9632,22.0192
1967,"fasy",34.2861,21.7321
1967,"fasy",33.4103,21.3554
1967,"fasy",31.9314,20.7055
1967,"fasy",30.6651,20.1348
1967,"fasy",28.3931,19.0771
1967,"fasy",28.2585,19.013
1967,"fasy",18.3148,13.8154
1967,"fasy",52.5409,28.3509
1967,"fasy",51.5215,28.0368
1967,"fasy",48.1554,26.9568
1967,"fasy",46.3187,26.3388
1967,"fasy",44.3788,25.6631
1967,"fasy",44.0725,25.5542
1967,"fasy",43.2555,25.2607
1967,"fasy",42.0298,24.8121
1967,"fasy",39.3505,23.7955
1967,"fasy",38.3445,23.4007
1967,"fasy",36.331,22.5884
1967,"fasy",35.5511,22.2656
1967,"fasy",33.2039,21.2658
1967,"fasy",30.6304,20.119
1967,"fasy",29.988,19.8242
1967,"fasy",29.5516,19.6219
1967,"fasy",29.3198,19.5138
1967,"fasy",27.7825,18.7852
1967,"fasy",61.802,30.9511
1967,"fasy",48.5638,27.0914
1967,"fasy",45.3999,26.0218
1967,"fasy",41.1105,24.4689
1967,"fasy",40.3942,24.1974
1967,"fasy",40.1899,24.1194
1967,"fasy",37.8395,23.1998
1967,"fasy",35.9993,22.4517
1967,"fasy",34.67,21.8953
1967,"fasy",32.7196,21.0541
1967,"fasy",31.3388,20.4401
1967,"fasy",29.8643,19.767
1967,"fasy",26.1597,17.9934
1968,"fasy",53.1354,28.5314
1968,"fasy",50.5395,27.7286
1968,"fasy",46.3789,26.3594
1968,"fasy",46.2748,26.3238
1968,"fasy",43.7749,25.4478
1968,"fasy",42.0029,24.8021
1968,"fasy",41.1676,24.4903
1968,"fasy",40.8547,24.3723
1968,"fasy",40.7504,24.3329
1968,"fasy",40.438,24.2141
1968,"fasy",39.1127,23.7028
1968,"fasy",38.12,23.3116
1968,"fasy",36.5309,22.6704
1968,"fasy",33.6377,21.4538
1968,"fasy",33.3339,21.3223
1968,"fasy",32.9359,21.1489
1968,"fasy",29.2957,19.5025
1968,"fasy",20.2069,14.8787
1968,"fasy",53.4467,28.6252
1968,"fasy",48.5641,27.0916
1968,"fasy",48.4601,27.0574
1968,"fasy",46.5871,26.4304
1968,"fasy",44.0875,25.5595
1968,"fasy",39.7073,23.9338
1968,"fasy",39.1856,23.7313
1968,"fasy",36.8888,22.8164
1968,"fasy",31.874,20.6799
1968,"fasy",31.6649,20.5865
1968,"fasy",29.2026,19.459
1968,"fasy",28.5002,19.1279
1968,"fasy",23.8655,16.8331
1968,"fasy",22.8887,16.3241
1968,"fasy",22.1256,15.92
1968,"fasy",52.4089,28.3106
1968,"fasy",49.2919,27.3289
1968,"fasy",48.2521,26.9888
1968,"fasy",46.8994,26.5365
1968,"fasy",44.0875,25.5595
1968,"fasy",42.1071,24.8407
1968,"fasy",40.7504,24.3329
1968,"fasy",40.0203,24.0543
1968,"fasy",39.916,24.0142
1968,"fasy",39.617,23.8989
1968,"fasy",37.0588,22.8855
1968,"fasy",36.0869,22.4879
1968,"fasy",34.2065,21.6981
1968,"fasy",32.4577,20.9388
1968,"fasy",31.5536,20.5366
1968,"fasy",29.2373,19.4752
1968,"fasy",50.6435,27.7615
1968,"fasy",50.1238,27.5964
1968,"fasy",46.8994,26.5365
1968,"fasy",45.4417,26.0363
1968,"fasy",43.1496,25.2223
1968,"fasy",42.5242,24.9942
1968,"fasy",42.1071,24.8407
1968,"fasy",41.8986,24.7634
1968,"fasy",35.4266,22.2136
1968,"fasy",29.8716,19.7704
1968,"fasy",25.4162,17.6227
1968,"fasy",23.389,16.5859
1968,"fasy",22.1014,15.9071
1968,"fasy",45.7541,26.1447
