"year","species","D","H"
1967,"piab",41.4585,26.4724
1967,"piab",41.1518,26.3355
1967,"piab",38.902,25.3129
1967,"piab",34.9104,23.4168
1967,"piab",34.808,23.3668
1967,"piab",34.4621,23.1971
1967,"piab",33.8009,22.8705
1967,"piab",31.6132,21.7679
1967,"piab",31.4715,21.6953
1967,"piab",31.1269,21.5181
1967,"piab",30.9871,21.446
1967,"piab",30.7468,21.3217
1967,"piab",30.4065,21.1449
1967,"piab",29.967,20.9154
1967,"piab",29.8332,20.8453
1967,"piab",29.0947,20.4556
1967,"piab",28.8642,20.3331
1967,"piab",28.5345,20.1573
1967,"piab",28.4082,20.0897
1967,"piab",27.6794,19.6974
1967,"piab",27.5568,19.631
1967,"piab",27.2346,19.4559
1967,"piab",26.8135,19.226
1967,"piab",26.0933,18.8295
1967,"piab",25.7765,18.6538
1967,"piab",23.9565,17.629
1967,"piab",21.5418,16.2281
1967,"piab",18.9294,14.6578
1967,"piab",16.6212,13.2212
1967,"piab",42.7889,27.0594
1967,"piab",40.436,26.0137
1967,"piab",37.8787,24.837
1967,"piab",37.367,24.5964
1967,"piab",37.2647,24.5481
1967,"piab",36.5969,24.231
1967,"piab",35.112,23.5152
1967,"piab",34.2451,23.0903
1967,"piab",34.0944,23.0159
1967,"piab",33.9444,22.9417
1967,"piab",33.5927,22.767
1967,"piab",33.1419,22.542
1967,"piab",32.6941,22.3169
1967,"piab",32.1482,22.0407
1967,"piab",31.8076,21.8673
1967,"piab",31.3688,21.6426
1967,"piab",30.6307,21.2615
1967,"piab",30.2897,21.0841
1967,"piab",30.2897,21.0841
1967,"piab",29.7426,20.7977
1967,"piab",28.8152,20.3071
1967,"piab",28.6938,20.2424
1967,"piab",28.3732,20.071
1967,"piab",27.9543,19.8459
1967,"piab",27.6321,19.6718
1967,"piab",27.6321,19.6718
1967,"piab",26.9074,19.2774
1967,"piab",26.7,19.1638
1967,"piab",26.1,18.8332
1967,"piab",25.8,18.6669
1967,"piab",25,18.2198
1967,"piab",24.7998,18.1071
1967,"piab",23.9989,17.6532
1967,"piab",23.9989,17.6532
1967,"piab",23.301,17.2535
1967,"piab",22.2003,16.615
1967,"piab",21,15.9072
1967,"piab",16.1007,12.8907
1967,"piab",41.4585,26.4724
1967,"piab",39.7202,25.6886
1967,"piab",37.8787,24.837
1967,"piab",36.6506,24.2566
1967,"piab",36.4459,24.1589
1967,"piab",36.2627,24.0712
1967,"piab",36.2627,24.0712
1967,"piab",36.2627,24.0712
1967,"piab",35.6043,23.7542
1967,"piab",35.6043,23.7542
1967,"piab",35.1091,23.5138
1967,"piab",34.957,23.4396
1967,"piab",34.3011,23.1179
1967,"piab",33.8516,22.8957
1967,"piab",33.4056,22.6738
1967,"piab",32.9631,22.4523
1967,"piab",32.7137,22.3268
1967,"piab",32.7137,22.3268
1967,"piab",32.3572,22.1467
1967,"piab",31.4241,21.671
1967,"piab",30.0943,20.982
1967,"piab",29.2639,20.5452
1967,"piab",29.2639,20.5452
1967,"piab",29.0324,20.4225
1967,"piab",28.4152,20.0935
1967,"piab",27.6003,19.6546
1967,"piab",27.1,19.3826
1967,"piab",26.9,19.2733
1967,"piab",26.9,19.2733
1967,"piab",26.6,19.1089
1967,"piab",26.3,18.9437
1967,"piab",26.1,18.8332
1967,"piab",24.099,17.7102
1967,"piab",23.7013,17.4833
1967,"piab",22.7006,16.9064
1967,"piab",22.4004,16.7318
1967,"piab",21.5001,16.2035
1967,"piab",18.1002,14.1471
1967,"piab",43.9131,27.5469
1967,"piab",38.6973,25.2183
1967,"piab",38.595,25.1709
1967,"piab",38.288,25.0282
1967,"piab",37.5717,24.6929
1967,"piab",35.9808,23.9358
1967,"piab",35.62,23.7618
1967,"piab",35.1587,23.5379
1967,"piab",34.6995,23.3136
1967,"piab",34.5473,23.239
1967,"piab",33.4688,22.7053
1967,"piab",33.4688,22.7053
1967,"piab",33.2936,22.6179
1967,"piab",33.0492,22.4955
1967,"piab",32.9081,22.4246
1967,"piab",31.7612,21.8435
1967,"piab",31.6268,21.7749
1967,"piab",31.4944,21.707
1967,"piab",31.3639,21.6401
1967,"piab",29.9301,20.8961
1967,"piab",27.8997,19.8164
1967,"piab",27.3795,19.5348
1967,"piab",26.5556,19.0845
1967,"piab",26.5556,19.0845
1967,"piab",25.7263,18.6259
1967,"piab",25.7263,18.6259
1967,"piab",23.7072,17.4866
1967,"piab",23.6012,17.4259
1967,"piab",22.4004,16.7318
1967,"piab",22.1003,16.5564
1967,"piab",21.1,15.9667
1967,"piab",19.7,15.1271
1967,"piab",19.0001,14.701
1967,"piab",18.1002,14.1471
1967,"piab",43.9131,27.5469
1967,"piab",43.5043,27.3705
1967,"piab",42.4822,26.9251
1967,"piab",41.1518,26.3355
1967,"piab",40.3001,25.9522
1967,"piab",39.5139,25.5943
1967,"piab",39.2402,25.4688
1967,"piab",38.5613,25.1553
1967,"piab",37.6836,24.7455
1967,"piab",36.8938,24.3724
1967,"piab",36.8938,24.3724
1967,"piab",36.4972,24.1834
1967,"piab",35.4362,23.6728
1967,"piab",35.1883,23.5523
1967,"piab",34.6416,23.2853
1967,"piab",34.4008,23.167
1967,"piab",34.1516,23.0441
1967,"piab",34.1516,23.0441
1967,"piab",33.4957,22.7187
1967,"piab",32.7661,22.3532
1967,"piab",32.5409,22.2396
1967,"piab",32.2178,22.076
1967,"piab",31.9,21.9144
1967,"piab",31.9,21.9144
1967,"piab",31.7,21.8123
1967,"piab",31.5,21.7099
1967,"piab",30.9,21.401
1967,"piab",29.3,20.5643
1967,"piab",28.1,19.9243
1967,"piab",27.6,19.6544
1967,"piab",25.4,18.444
1967,"piab",25.3,18.388
1967,"piab",24.4994,17.9375
1967,"piab",24.2992,17.824
1967,"piab",23.6012,17.4259
1967,"piab",23.4011,17.311
1967,"piab",22.2003,16.615
1967,"piab",21.3001,16.0853
1967,"piab",20.5992,15.6682
1967,"piab",20.2009,15.4294
1967,"piab",41.8689,26.6546
1967,"piab",39.7202,25.6886
1967,"piab",39.1066,25.4073
1967,"piab",38.902,25.3129
1967,"piab",38.1857,24.9805
1967,"piab",37.4088,24.6161
1967,"piab",36.8385,24.3461
1967,"piab",36.576,24.2211
1967,"piab",36.1115,23.9987
1967,"piab",35.0238,23.4722
1967,"piab",35.0238,23.4722
1967,"piab",34.1299,23.0334
