"year","species","D_cm","H_m","V_m3","X_utm","Y_utm"
1997,"piab",28.1,25.4,NA,NA,NA
1997,"piab",39.5,27.7,NA,NA,NA
1997,"piab",16.1,20.7,NA,NA,NA
1997,"piab",13.9,19.3,NA,NA,NA
1997,"piab",16.6,21,NA,NA,NA
1997,"piab",22.7,23.7,NA,NA,NA
1997,"piab",24.7,24.4,NA,NA,NA
1997,"piab",27.4,25.2,NA,NA,NA
1997,"piab",18,21.7,NA,NA,NA
1997,"piab",29,25.6,NA,NA,NA
1997,"piab",23.2,23.9,NA,NA,NA
1997,"piab",18.5,22,NA,NA,NA
1997,"piab",29.2,25.7,NA,NA,NA
1997,"piab",25,24.5,NA,NA,NA
1997,"piab",28.2,25.5,NA,NA,NA
1997,"piab",35,26.9,NA,NA,NA
1997,"piab",21.4,23.2,NA,NA,NA
1997,"piab",20.1,22.7,NA,NA,NA
1997,"piab",28,25.4,NA,NA,NA
1997,"piab",37,27.3,NA,NA,NA
1997,"piab",30.4,26,NA,NA,NA
1997,"piab",30.2,25.9,NA,NA,NA
1997,"piab",14.7,19.8,NA,NA,NA
1997,"piab",25.9,24.8,NA,NA,NA
1997,"piab",30.2,25.9,NA,NA,NA
1997,"piab",39,27.6,NA,NA,NA
1997,"piab",26.2,24.9,NA,NA,NA
1997,"piab",30,25.9,NA,NA,NA
1997,"piab",25.3,24.6,NA,NA,NA
1997,"piab",35.2,27,NA,NA,NA
1997,"piab",42.6,28.1,NA,NA,NA
1997,"piab",23.7,24.1,NA,NA,NA
1997,"piab",29,25.6,NA,NA,NA
1997,"piab",26.6,25,NA,NA,NA
1997,"piab",26.6,25,NA,NA,NA
1997,"piab",24.1,24.2,NA,NA,NA
1997,"piab",32.8,26.5,NA,NA,NA
1997,"piab",21.8,23.4,NA,NA,NA
1997,"piab",19,22.2,NA,NA,NA
1997,"piab",27.6,25.3,NA,NA,NA
1997,"piab",25,24.5,NA,NA,NA
1997,"piab",22.7,23.7,NA,NA,NA
1997,"piab",20.9,23.1,NA,NA,NA
1997,"piab",24.6,24.4,NA,NA,NA
1997,"piab",13.4,18.9,NA,NA,NA
1997,"piab",38.9,27.6,NA,NA,NA
1997,"piab",32.6,26.5,NA,NA,NA
1997,"piab",11.1,16.9,NA,NA,NA
1997,"piab",29.7,25.8,NA,NA,NA
1997,"piab",14.3,19.5,NA,NA,NA
1997,"piab",14.4,19.6,NA,NA,NA
1997,"piab",21.8,23.4,NA,NA,NA
1997,"piab",22,23.5,NA,NA,NA
1997,"piab",32.4,26.4,NA,NA,NA
1997,"piab",15.1,20.1,NA,NA,NA
1997,"piab",29.6,25.8,NA,NA,NA
1997,"piab",30.4,26,NA,NA,NA
1997,"piab",18.1,21.8,NA,NA,NA
1997,"piab",16.9,21.1,NA,NA,NA
1997,"piab",49.6,28.9,NA,NA,NA
1997,"piab",29.6,25.8,NA,NA,NA
1997,"piab",34,26.7,NA,NA,NA
1997,"piab",25.7,24.8,NA,NA,NA
1997,"piab",14.2,19.4,NA,NA,NA
1997,"piab",33.5,26.6,NA,NA,NA
1997,"piab",23.3,24,NA,NA,NA
1997,"piab",37.1,27.3,NA,NA,NA
1997,"piab",27.8,25.3,NA,NA,NA
1997,"piab",21,23.1,NA,NA,NA
1997,"piab",25.8,24.8,NA,NA,NA
1997,"piab",30.6,26,NA,NA,NA
1997,"piab",25.8,24.8,NA,NA,NA
1997,"piab",43.2,28.2,NA,NA,NA
1997,"piab",34.4,26.8,NA,NA,NA
1997,"piab",30.5,26,NA,NA,NA
1997,"piab",28.6,25.6,NA,NA,NA
1997,"piab",7.4,12.7,NA,NA,NA
1997,"piab",34,26.7,NA,NA,NA
1997,"piab",42.5,28.1,NA,NA,NA
1997,"piab",11.1,16.9,NA,NA,NA
1997,"piab",28.2,25.5,NA,NA,NA
1997,"piab",26.1,24.9,NA,NA,NA
1997,"piab",29.1,25.7,NA,NA,NA
1997,"piab",24,24.2,NA,NA,NA
1997,"piab",20.9,23,NA,NA,NA
1997,"piab",30.9,26.1,NA,NA,NA
1997,"piab",14.9,19.9,NA,NA,NA
1997,"piab",23.5,24,NA,NA,NA
1997,"piab",31,26.1,NA,NA,NA
1997,"piab",23.5,24,NA,NA,NA
1997,"piab",31.9,26.3,NA,NA,NA
1997,"piab",18.4,22,NA,NA,NA
1997,"piab",28.7,25.6,NA,NA,NA
1997,"piab",30,25.9,NA,NA,NA
1997,"piab",25.7,24.7,NA,NA,NA
1997,"piab",27.4,25.2,NA,NA,NA
1997,"piab",30.6,26,NA,NA,NA
1997,"piab",27.8,25.3,NA,NA,NA
1997,"piab",28.6,25.5,NA,NA,NA
1997,"piab",32.3,26.4,NA,NA,NA
1997,"piab",19.8,22.6,NA,NA,NA
1997,"piab",13.1,18.7,NA,NA,NA
1997,"piab",11.3,17.2,NA,NA,NA
1997,"piab",33.9,26.7,NA,NA,NA
1997,"piab",14.3,19.5,NA,NA,NA
1997,"piab",28,25.4,NA,NA,NA
1997,"piab",24.7,24.4,NA,NA,NA
1997,"piab",35.7,27.1,NA,NA,NA
1997,"piab",21.4,23.3,NA,NA,NA
1997,"piab",29.5,25.8,NA,NA,NA
1997,"piab",17.8,21.7,NA,NA,NA
1997,"piab",18.2,21.8,NA,NA,NA
1997,"piab",25,24.5,NA,NA,NA
1997,"piab",14.5,19.6,NA,NA,NA
1997,"piab",31.1,26.1,NA,NA,NA
1997,"piab",28.1,25.4,NA,NA,NA
1997,"piab",12.2,18,NA,NA,NA
1997,"piab",26.2,24.9,NA,NA,NA
1997,"piab",16.1,20.7,NA,NA,NA
1997,"piab",26.1,24.9,NA,NA,NA
1997,"piab",26.6,25,NA,NA,NA
1997,"piab",31.5,26.2,NA,NA,NA
1997,"piab",35.3,27,NA,NA,NA
1997,"piab",10.3,16.1,NA,NA,NA
1997,"piab",31.6,26.3,NA,NA,NA
1997,"piab",33.2,26.6,NA,NA,NA
1997,"piab",23.2,23.9,NA,NA,NA
1997,"piab",28,25.4,NA,NA,NA
1997,"piab",20,22.7,NA,NA,NA
1997,"piab",38.6,27.5,NA,NA,NA
1997,"piab",27.1,25.1,NA,NA,NA
1997,"piab",35.9,27.1,NA,NA,NA
1997,"piab",23.7,24.1,NA,NA,NA
1997,"piab",30.5,26,NA,NA,NA
1997,"piab",16.1,20.7,NA,NA,NA
1997,"piab",9.4,15.2,NA,NA,NA
1997,"piab",27.3,25.2,NA,NA,NA
1997,"piab",29.2,25.7,NA,NA,NA
1997,"piab",10.7,16.6,NA,NA,NA
1997,"piab",25.3,24.6,NA,NA,NA
1997,"piab",18.7,22.1,NA,NA,NA
1997,"piab",15,20,NA,NA,NA
1997,"piab",29.1,25.7,NA,NA,NA
1997,"piab",26.1,24.9,NA,NA,NA
1997,"piab",15.4,20.3,NA,NA,NA
1997,"piab",25.5,24.7,NA,NA,NA
1997,"piab",30.3,26,NA,NA,NA
1997,"piab",20.3,22.8,NA,NA,NA
1997,"piab",30,25.9,NA,NA,NA
1997,"piab",20.9,23.1,NA,NA,NA
1997,"piab",28.8,25.6,NA,NA,NA
1997,"piab",41.9,28,NA,NA,NA
1997,"piab",21.1,23.2,NA,NA,NA
1997,"piab",35,26.9,NA,NA,NA
1997,"piab",34.3,26.8,NA,NA,NA
1997,"piab",43.4,28.2,NA,NA,NA
1997,"piab",32.2,26.4,NA,NA,NA
1997,"piab",21.5,23.3,NA,NA,NA
1997,"piab",33.1,26.6,NA,NA,NA
1997,"piab",29.2,25.7,NA,NA,NA
1997,"piab",44.6,28.4,NA,NA,NA
1997,"piab",39.7,27.7,NA,NA,NA
1997,"piab",23.1,23.9,NA,NA,NA
1997,"piab",9,14.8,NA,NA,NA
1997,"piab",46.5,28.6,NA,NA,NA
1997,"piab",12.9,18.5,NA,NA,NA
1997,"piab",31.5,26.2,NA,NA,NA
1997,"piab",20.3,22.8,NA,NA,NA
1997,"piab",26.5,25,NA,NA,NA
1997,"piab",37.5,27.4,NA,NA,NA
1997,"piab",17,21.2,NA,NA,NA
1997,"piab",12.1,17.8,NA,NA,NA
1997,"piab",26.5,25,NA,NA,NA
1997,"piab",27.9,25.4,NA,NA,NA
1997,"piab",24.6,24.4,NA,NA,NA
1997,"piab",41.1,27.9,NA,NA,NA
1997,"piab",36,27.1,NA,NA,NA
1997,"piab",12.4,18.1,NA,NA,NA
1997,"piab",32,26.3,NA,NA,NA
1997,"piab",8.2,13.7,NA,NA,NA
