"year","species","D","H"
1967,"piab",28.4,23.48
1967,"piab",31.5,24.43
1967,"piab",33,24.86
1967,"piab",29,23.67
1967,"piab",35.5,25.54
1967,"piab",28.6,23.54
1967,"piab",26.3,22.77
1967,"piab",35,25.41
1967,"piab",25.1,22.34
1967,"piab",14.3,17.14
1967,"piab",43.3,27.37
1967,"piab",22.4,21.29
1967,"piab",20.8,20.6
1967,"piab",38.8,26.36
1967,"piab",27.6,23.21
1967,"piab",32.5,24.72
1967,"piab",38,26.17
1967,"piab",42.9,27.28
1967,"piab",31.4,24.4
1967,"piab",25.1,22.34
1967,"piab",23.5,21.73
1967,"piab",21,20.69
1967,"piab",31.2,24.34
1967,"piab",35.1,25.43
1967,"piab",22.9,21.49
1967,"piab",34.6,25.3
1967,"piab",29.2,23.73
1967,"piab",26.2,22.73
1967,"piab",28.6,23.54
1967,"piab",34.4,25.25
1967,"piab",26.9,22.98
1967,"piab",23.9,21.88
1967,"piab",25.4,22.45
1967,"piab",30.4,24.1
1967,"piab",33.8,25.08
1967,"piab",32.2,24.64
1967,"piab",26.5,22.84
1967,"piab",22.4,21.29
1967,"piab",34.4,25.25
1967,"piab",35.1,25.43
1967,"piab",34.7,25.33
1967,"piab",34.4,25.25
1967,"piab",31.3,24.37
1967,"piab",35.5,25.54
1967,"piab",27.5,23.18
1967,"piab",31.8,24.52
1967,"piab",34,25.14
1967,"piab",41,26.87
1967,"piab",22,21.12
1967,"piab",34.5,25.27
1967,"piab",37.3,25.99
1967,"piab",29.1,23.7
1967,"piab",23.3,21.65
1967,"piab",29.2,23.73
1967,"piab",32.9,24.83
1967,"piab",25.2,22.37
1967,"piab",35.9,25.64
1967,"piab",30.4,24.1
1967,"piab",23.7,21.81
1967,"piab",32.7,24.78
1967,"piab",35,25.41
1967,"piab",29.3,23.76
1967,"piab",27.6,23.21
1967,"piab",20.6,20.51
1967,"piab",19,19.77
1967,"piab",22.2,21.2
1967,"piab",22.4,21.29
1967,"piab",24.3,22.04
1967,"piab",30.5,24.14
1967,"piab",27.8,23.28
1967,"piab",36.1,25.69
1967,"piab",27.9,23.31
1967,"piab",29.6,23.86
1967,"piab",24.4,22.08
1967,"piab",18.9,19.72
1967,"piab",34.8,25.35
1967,"piab",33.7,25.06
1967,"piab",32.8,24.81
1967,"piab",15.8,18.06
1967,"piab",21.6,20.95
1967,"piab",33.6,25.03
1967,"piab",34.1,25.17
1967,"piab",24.3,22.04
1967,"piab",26.9,22.98
1967,"piab",45.7,27.87
1967,"piab",30,23.98
1967,"piab",31.2,24.34
1967,"piab",18.9,19.72
1967,"piab",40.5,26.75
1967,"piab",24.1,21.96
